,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000006.XSHE,9.3029,1.3264,3.2901,-6.2755,2.074337174946253,0.2729090213121421,1.9338697578824344,0.49955640991788,38.96,17.81,99.52,572.6,19.71,13.56,6.19,66.77886031520721,9.204368174727007,60.0,0.2028088125923757,0.10674696800089953,0.19212368918295236,0.2400000000000002,2.7782932963330427,82.2468,82.3497
000008.XSHE,14.8344,1.8283,4.9166,-23.421,1.3773581862608981,0.04432891654277462,5.107685362539591,0.4691193999157385,45.24,12.09,104.44,-11.56,36.23,-5.35,-5.83,72.08542598328161,16.422029858236108,60.0,0.19938187976013744,0.04463516808575212,0.3094934233487706,0.45999999999999996,3.724822297462517,119.4554,129.8631
000009.XSHE,216.0486,2.1796,1.2525,94.1474,2.886587058293715,0.6972250775910025,2.883891046365116,0.6056305379598481,34.5,1.53,-525.66,1003.42,19.4,-96.31,-76.87,65.75056940153588,11.256544502617793,50.0,0.23375712692562844,0.09879879263172209,0.2699166685878127,0.11000000000000032,1.5545232555699957,109.3811,110.9062
000012.XSHE,24.1921,1.5761,1.2558,11.777000000000001,2.13486354533557,0.3875777379208132,2.3078470062177647,1.2630226130150461,21.93,4.73,73.61,554.99,-5.83,-55.32,-60.57,65.72418639373389,8.044164037854904,50.0,0.22247426146013494,0.15093245919375983,0.1430836045327502,0.08999999999999986,0.9812234516301109,87.5125,141.1596
000021.XSHE,21.1027,1.7521,0.6728,15.0763,2.2681872301200072,0.02769019037480551,4.031144403763861,0.8879783731148673,4.03,6.41,-0.21,1118.44,22.82,69.6,67.66,64.03236583710881,9.082469441435846,35.0,0.4839122151890596,0.33430014215859083,0.2992241460609375,0.20000000000000018,0.8592538250557944,108.1425,108.2847
000025.XSHE,137.7771,8.5635,21.419,186.3366,1.4705260489527718,0.050898380300805804,3.2804274202498176,0.7570166968195313,23.0,9.69,76.42,56.77,19.69,-34.39,-41.52,57.825245613306585,7.0711456015629075,50.0,0.5517354072740339,0.14266368649886899,0.8181434415503299,0.6700000000000017,1.9719803781430707,77.9597,85.5576
000027.XSHE,33.1514,1.0022,1.3081,12.9168,3.3176454894787826,1.4261681085933795,2.775091502279013,1.1568865612044246,21.42,2.14,104.03,2690.56,2.91,-71.04,-79.07,70.21726632434732,11.417937327410236,50.0,0.2434986241221706,0.09375858298046524,0.2994800822834107,0.16000000000000014,0.37944451720829314,242.2304,242.2304
000028.XSHE,16.0068,1.7169999999999999,0.45299999999999996,5.3069,2.0841139717244914,0.020625005311673,2.1558660876145233,0.6004050576920497,11.26,2.92,98.97,107.44,2.17,17.54,20.33,58.75391889029452,5.161052948456376,50.0,0.8427467490915035,0.3864877308479572,0.9125180364870926,1.0500000000000007,0.6350907720143234,135.9615,189.1465
000031.XSHE,17.182000000000002,3.0945,1.7004,29.1849,7.013673709350257,2.154606895250754,4.458633614184482,0.6346017542682941,35.09,16.46,98.01,-150.58,-26.45,-37.21,-38.51,72.62519696793751,10.44776119402984,70.0,0.2424371501622744,0.10761144066439896,0.2696514189957509,0.16999999999999993,1.1452930904533236,105.3773,228.0931
000039.XSHE,11.229000000000001,1.2217,0.4425,-69.3081,3.3675601256228336,0.7594692081407516,6.619546170082549,0.9746749932767996,17.0,6.58,32.23,99.12,13.46,106.98,121.19,69.07049233882387,8.293351610692254,50.0,0.3450380687077299,0.23420800250387308,0.22166013240771365,0.08000000000000007,0.8099614336568903,167.7107,394.9147
000049.XSHE,17.8693,4.2714,0.4238,-32.6199,4.5051350693424475,0.07660923076023192,25.605601943164995,0.883371004287573,8.83,3.46,98.24,153.82,72.6,105.79,118.48,64.83127555874884,9.334061135371185,60.0,1.0595575298777185,0.6343079189465789,0.8504992218622791,0.5900000000000034,1.4237706000072947,69.475,69.475
000060.XSHE,17.7797,1.6874,0.8170000000000001,40.8168,1.8419457036821496,0.23087260517015057,2.84976349547725,0.8495492696767536,10.23,3.04,91.35,300.15,13.58,-44.05,-46.73,72.0581494841972,11.71627612412918,55.00000000000001,0.2382538466024573,0.10936864577131605,0.2577704016622825,0.1900000000000004,1.7001438246112883,173.0588,173.1297
000061.XSHE,169.5944,2.0751,4.0579,14.4097,2.959296030701291,0.8229905966992085,3.7418576016563114,1.852429107645414,39.73,14.65,-37.44,3960.49,0.64,1017.62,18277.09,65.24178104032025,11.144071986551971,65.0,0.2983593814678036,0.15713046332229996,0.2824578362910073,0.16000000000000014,0.596970543345996,98.9883,99.1027
000062.XSHE,23.8692,3.214,1.3219,29.5997,2.1008407807381544,0.2079639997008776,2.8427648172118385,0.6938410559287612,15.5,5.28,97.1,-102.5,38.65,24.39,23.03,64.93199809033466,8.847046685581635,50.0,0.6224881786907961,0.3190802487584024,0.6068158598647874,0.26000000000000156,0.43498894280486683,142.5761,145.70600000000002
000066.XSHE,41.4765,3.3638,2.2086,102.4067,2.155846713990261,0.3701756358008089,2.682967317206814,0.6803101886055682,17.19,-1.78,139.03,396.64,2.72,-143.24,-200.84,72.53835798245817,13.470415442719267,55.00000000000001,0.641050230387739,0.40721646006075457,0.46766754065396887,0.2599999999999998,2.2019521766610892,172.3576,203.1827
000078.XSHE,17.0233,1.8816,0.3056,-21.0989,4.988383245808731,0.627937831177643,13.30889918084476,0.824309946405152,12.71,1.62,100.22,224.66,48.16,-19.63,-27.04,76.64104213609617,20.694818808026362,55.00000000000001,0.23474568912396032,0.10435887996281507,0.2607736183222905,0.3700000000000001,7.473286276483956,75.1945,111.8846
000089.XSHE,26.6889,1.6979,5.5167,74.7485,1.1746050160192567,0.00034979056054333646,3.833873053233746,0.4515662038491215,30.27,23.26,95.23,131.43,4.87,7.71,11.09,68.52955733477192,10.650396872408471,65.0,0.6066361112846259,0.3653295976679882,0.48261302723327537,0.20999999999999908,1.1660237240244633,196.0536,196.0536
000090.XSHE,36.826,1.3586,1.249,5.0522,4.669247199065684,1.2803493052759465,2.7872929469508554,0.5853178241289104,11.98,-2.57,101.67,-5311.94,-17.52,-110.79,-115.39,67.47639007728516,10.755441741357245,65.0,0.1976083588957227,0.12052928769466234,0.15415814240212072,0.10000000000000009,1.1110838275438217,85.5164,85.5219
000156.XSHE,22.1091,1.3682,4.2921,72.7257,1.3837853072303243,0.13649625467752804,1.1364775681662542,0.30463984449964004,39.77,19.76,82.94,219.83,11.1,0.72,0.7,72.34217298095452,11.46189034211713,65.0,0.45053818375977794,0.2252989013586297,0.4504785648022965,0.19000000000000128,0.6897157823515527,128.6697,144.0519
000158.XSHE,29.1533,1.6099,0.8901,-47.4035,2.1232254340717547,0.18681842709189883,10.71283206625415,0.7485930176194602,11.8,0.5,-332.28,-395.0,21.99,63.57,-34.02,61.937696099813444,10.613993336506391,55.00000000000001,0.22583586712043768,0.061783749883740226,0.32810423447339493,0.16999999999999993,0.7033945940642249,94.3637,96.03200000000001
000400.XSHE,23.8138,1.445,1.2079,-442.4004,1.7636518338819274,0.0034292282415615883,9.044780396237151,0.5069794713702201,16.29,2.89,84.35,146.63,-25.19,-74.08,-71.16,59.346578147395924,3.6414565826330776,50.0,0.34524955743574104,0.3206342133738957,0.04923068812369069,0.16999999999999993,1.1750763642092725,111.402,111.4202
