,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000009.XSHE,27.8693,3.6075,1.6393,-102.4785,2.367557466825781,0.3823565168590718,2.5230515019383954,0.6460424364463243,24.83,4.47,11.79,-77.37,47.0,-23.76,-3.2,37.78913651848795,-5.521160206937493,35.0,-0.6481769837131335,-0.6663971183315167,0.036440269236766465,0.6899999999999995,3.3615463919680217,285.5051,288.61400000000003
000012.XSHE,14.5836,1.9961,1.694,277.6081,1.639836354155276,0.3177228957485362,2.0411011486742394,0.6266802088728243,37.38,4.64,86.41,103.89,19.32,-44.8,-51.51,39.80353893024598,-2.509852727649886,25.0,-0.39765231231572606,-0.4116626254787027,0.028020626325953257,0.15999999999999925,0.9749902400801791,145.2013,227.8454
000021.XSHE,19.0681,1.8675,1.062,7.348,2.1638750133799225,0.22509733095003837,2.975099836419123,0.6915906881002831,7.32,5.96,32.39,-9.06,19.15,-2.58,-8.72,35.39019125439597,-2.4775268581451493,40.0,-0.7090708736896598,-0.8054369536958259,0.19273216001233218,0.16000000000000014,0.3662978825473319,176.9072,176.9706
000027.XSHE,13.405999999999999,0.6766,1.0205,14.786,2.5318127157159847,1.0566930062382682,2.049126100264423,0.904394609960524,21.08,12.42,83.76,66.9,23.69,-27.82,-24.47,39.31195609691095,-2.559211572087102,35.0,-0.25106151972109103,-0.26978312418655237,0.03744320893092268,0.1200000000000001,0.2567633558670031,305.9002,305.9002
000028.XSHE,10.8535,0.9719,0.2122,-21.5976,2.373941710019376,0.13219529290808413,4.727782879933012,0.7026728856913985,11.92,1.41,92.05,45.46,8.22,-43.35,-48.76,51.48093131906942,2.5494827726643368,60.0,0.09640049525443928,-0.1895959964006853,0.5719929833102492,1.3200000000000003,1.5704120067888814,124.5882,145.0494
000031.XSHE,-657.8259,1.0181,0.47,-2.2151,4.334396118022852,1.2407175792495146,4.545639409758989,0.6370538932205804,33.39,8.61,99.96,-61.61,40.29,34.04,34.79,67.49208616465688,17.29398524446666,55.00000000000001,0.22190160438668638,0.07330612194624833,0.2971909648808761,0.5599999999999996,7.872862136195763,88.6761,201.0281
000039.XSHE,7.4917,1.1067,0.305,9.3867,2.708358323056352,0.5149974666589681,4.113603046777771,0.8347654912883952,17.87,-3.48,119.27,-713.49,48.7,-99.77,-134.78,41.85352019417503,-1.2715033657442443,55.00000000000001,-0.27805492003733434,-0.31755090045481577,0.07899196083496285,0.3800000000000008,2.0682844913149228,213.1103,499.3474
000046.XSHE,-1.7645,0.6856,0.5409,-0.7737,4.921299934087843,0.8128830904191771,27.339353859814082,1.1042151437207328,47.26,-69.11,52.56,-402.37,9.97,-682.73,-4905.15,58.45070468430613,9.535724214623297,50.0,0.0521343977700961,-0.003509754163214685,0.11128830386662156,0.1499999999999999,3.0481253771323056,102.3207,102.3652
000050.XSHE,16.651,0.7365,0.8069,-43.5026,2.3064611495209504,0.7040602944141899,5.308177840595241,1.2146688832335806,19.62,1.68,-14.03,269.06,20.11,-37.24,-45.71,36.56100777372213,-1.8735806207418826,50.0,-0.4992245447984782,-0.548311984298045,0.09817487899913346,0.120000000000001,0.23413109817025723,248.2683,256.8346
000060.XSHE,13.8003,1.2759,0.3634,109.8103,2.005559995994816,0.46131884851045596,4.595569178546452,0.8306538875622724,5.6,1.58,79.76,226.19,48.52,77.51,-57.75,40.03134693530076,-5.229122533169801,45.0,-0.15393480304438079,-0.1200174401680296,-0.06783472575270239,0.08999999999999986,1.1399856202578327,161.6434,161.6965
000062.XSHE,14.9292,2.1407,0.5774,19.0883,2.319715591228605,0.284426240538647,2.813475119487978,0.6100901803691219,10.86,3.23,92.79,0.68,32.11,10.65,9.52,37.24615007142931,-1.592015177761277,40.0,-0.7616453227700557,-0.8846192479043004,0.2459478502684893,0.20999999999999908,0.3762060080204914,131.7181,131.8892
000089.XSHE,139.762,1.1906,4.4059,-10.6651,1.6636310207279958,0.3356590795462115,11.041442507921825,1.6133542770811797,-1.06,-9.53,104.98,-54.7,-8.42,-186.49,-180.08,44.09562169071688,-0.8478229630694087,35.0,-0.17002744551497795,-0.17771648778690743,0.015378084543858972,0.10000000000000053,0.3176563222444517,142.1183,142.1183
000090.XSHE,8.5192,1.4274,0.6836,4.0147,4.930661759059291,0.8050732621570278,4.120477998695776,0.7210964695609612,14.16,2.64,99.19,-453.96,45.68,5.26,-20.65,65.00705437396833,10.560014428713151,60.0,0.12348287645066325,0.019237272356650504,0.2084912081880255,0.41999999999999993,2.979788235780886,128.9034,128.9296
000156.XSHE,16.0545,1.083,1.8319999999999999,-21.1638,1.6928198387956335,0.2138725498447704,4.095814649661648,0.6402887425602919,32.07,11.11,80.38,243.94,98.54,44.43,38.33,48.60829464673216,0.8933263268523334,45.0,-0.1179883359714653,-0.12526897725948266,0.014561282576034729,0.2400000000000002,0.48473852113441646,126.7695,150.0875
