,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000006.XSHE,7.8389,1.1176,2.7723,-5.2879,2.074337174946253,0.2729090213121421,1.9338697578824344,0.49955640991788,38.96,17.81,99.52,572.6,19.71,13.56,6.19,43.09409868993257,-2.722880983750542,45.0,-0.06181299054266631,-0.04080504782428443,-0.04201588543676377,0.10999999999999943,0.5401553763119039,69.303,69.3897
000008.XSHE,11.5626,1.425,3.8322,-18.2554,1.3773581862608981,0.04432891654277462,5.107685362539591,0.4691193999157385,45.24,12.09,104.44,-11.56,36.23,-5.35,-5.83,34.66951235459056,-7.7354402956543815,25.0,-0.07647126275851424,-0.0328656358250808,-0.08721125386686687,0.33999999999999986,1.6196153239353557,93.1087,101.221
000009.XSHE,170.4104,1.7192,0.9879,74.2597,2.886587058293715,0.6972250775910025,2.883891046365116,0.6056305379598481,34.5,1.53,-525.66,1003.42,19.4,-96.31,-76.87,35.94272776863822,-6.588824020016661,40.0,-0.11630281290154798,-0.0764587620146428,-0.07968810177381036,0.14000000000000012,0.6821853283396453,86.2754,87.4783
000012.XSHE,20.0211,1.3044,1.0393,9.7465,2.13486354533557,0.3875777379208132,2.3078470062177647,1.2630226130150461,21.93,4.73,73.61,554.99,-5.83,-55.32,-60.57,45.21254949012543,-1.8617405108962395,40.0,0.0025758855723885254,-0.010214370912054559,0.02558051296888617,0.16999999999999993,0.7725834876288455,72.4242,116.8217
000021.XSHE,16.7158,1.3879,0.5329,11.9422,2.2681872301200072,0.02769019037480551,4.031144403763861,0.8879783731148673,4.03,6.41,-0.21,1118.44,22.82,69.6,67.66,44.289906226897294,-4.107234920089331,45.0,-0.014153081139847146,0.035349662223365205,-0.0990054867264247,0.21999999999999975,0.4980872658859566,85.6618,85.7744
000025.XSHE,116.5217,7.2424,18.1146,157.5897,1.4705260489527718,0.050898380300805804,3.2804274202498176,0.7570166968195313,23.0,9.69,76.42,56.77,19.69,-34.39,-41.52,32.59693307430752,-8.999154368640697,45.0,-0.5350357562431505,-0.20209976049633854,-0.6658719914936239,0.75,0.7439781808731195,65.9326,72.3583
000027.XSHE,27.5086,0.8316,1.0854,10.7182,3.3176454894787826,1.4261681085933795,2.775091502279013,1.1568865612044246,21.42,2.14,104.03,2690.56,2.91,-71.04,-79.07,37.49363710540058,-3.1080911035610908,40.0,-0.05293633982659118,-0.025262629629450684,-0.055347420394281,0.06000000000000005,0.0679067399723385,200.9997,200.9997
000028.XSHE,14.1844,1.5215,0.4014,4.7027,2.0841139717244914,0.020625005311673,2.1558660876145233,0.6004050576920497,11.26,2.92,98.97,107.44,2.17,17.54,20.33,40.17123288490855,-1.151342049708187,45.0,-0.7569966281985039,-0.8341786498054995,0.15436404321399122,0.740000000000002,0.43133983724900493,120.4819,167.6117
000031.XSHE,6.7357,1.2131,0.6666,11.4411,7.013673709350257,2.154606895250754,4.458633614184482,0.6346017542682941,35.09,16.46,98.01,-150.58,-26.45,-37.21,-38.51,45.03152418579416,-1.2268008807801103,45.0,-0.049871839067809454,-0.04810051358925219,-0.003542650957114521,0.1200000000000001,0.5313295922339197,89.4165,89.417
000039.XSHE,9.455,1.0287,0.3726,-58.3586,3.3675601256228336,0.7594692081407516,6.619546170082549,0.9746749932767996,17.0,6.58,32.23,99.12,13.46,106.98,121.19,48.96327821560422,-1.4906027219701679,60.0,0.04944249922055288,0.05743524533123947,-0.015985492221373174,0.10000000000000053,0.43810596953437253,141.2424,332.5247
000049.XSHE,14.4169,3.4462,0.3419,-26.3176,4.5051350693424475,0.07660923076023192,25.605601943164995,0.883371004287573,8.83,3.46,98.24,153.82,72.6,105.79,118.48,41.29893110943519,-5.22272074132725,45.0,-0.29839826094689315,-0.07794048509715984,-0.4409155516994666,0.5700000000000003,0.7126604759069433,56.0521,56.0521
000060.XSHE,14.7736,1.4021,0.6788,33.9158,1.8419457036821496,0.23087260517015057,2.84976349547725,0.8495492696767536,10.23,3.04,91.35,300.15,13.58,-44.05,-46.73,44.57330084065613,-1.6525594518339288,30.0,-0.026630984791860435,-0.01693636509550786,-0.01938923939270515,0.0900000000000003,0.7677848028964978,143.7993,143.8583
000061.XSHE,137.3599,1.6807,3.2866,11.6709,2.959296030701291,0.8229905966992085,3.7418576016563114,1.852429107645414,39.73,14.65,-37.44,3960.49,0.64,1017.62,18277.09,45.599320683227184,-3.407281604925146,55.00000000000001,-0.007133836293371942,-0.0011770143762799496,-0.011913643834183986,0.3899999999999997,0.5677790083122783,80.1737,80.2664
000062.XSHE,20.088,2.7048,1.1125,24.9106,2.1008407807381544,0.2079639997008776,2.8427648172118385,0.6938410559287612,15.5,5.28,97.1,-102.5,38.65,24.39,23.03,44.205204694499976,-1.270047279132293,45.0,-0.1659270721165278,-0.20684846682567684,0.08184278941829809,0.4200000000000017,0.45092978210185763,119.9898,122.6239
000066.XSHE,32.1263,2.6055,1.7107,79.3208,2.155846713990261,0.3701756358008089,2.682967317206814,0.6803101886055682,17.19,-1.78,139.03,396.64,2.72,-143.24,-200.84,55.17535747986978,3.4959510171834793,50.0,0.11210878226697485,0.02432984726289547,0.17555787000815876,0.1999999999999993,0.9263279665111124,133.5024,157.3785
000078.XSHE,12.0805,1.3353,0.2169,-14.9727,4.988383245808731,0.627937831177643,13.30889918084476,0.824309946405152,12.71,1.62,100.22,224.66,48.16,-19.63,-27.04,39.759925021446875,-4.578930515529933,35.0,-0.042275947497240285,-0.022155189453534906,-0.04024151608741076,0.06999999999999984,0.5628968093823594,55.6996,79.3984
000089.XSHE,22.5292,1.4333,4.6569,63.0984,1.1746050160192567,0.00034979056054333646,3.833873053233746,0.4515662038491215,30.27,23.26,95.23,131.43,4.87,7.71,11.09,58.1619421695074,2.477404252552171,60.0,0.07737684616079576,0.03671247573560383,0.08132874085038387,0.1800000000000006,0.40479624665611313,165.4971,165.4971
000090.XSHE,29.6464,1.0938,1.0055,4.0672,4.669247199065684,1.2803493052759465,2.7872929469508554,0.5853178241289104,11.98,-2.57,101.67,-5311.94,-17.52,-110.79,-115.39,42.23246042054799,-2.524544179523144,40.0,-0.024383425193674757,-0.02203324773634316,-0.004700354914663196,0.0900000000000003,0.3605320251648578,68.8443,68.8487
000156.XSHE,18.1272,1.1218,3.5191,59.6278,1.3837853072303243,0.13649625467752804,1.1364775681662542,0.30463984449964004,39.77,19.76,82.94,219.83,11.1,0.72,0.7,44.11100048200057,-2.8900150664292603,50.0,-0.038378910375989506,-0.02035442771627398,-0.03604896531943105,0.20999999999999996,0.3846447657568872,105.4963,118.1082
000158.XSHE,23.5334,1.2995,0.7185,-38.2655,2.1232254340717547,0.18681842709189883,10.71283206625415,0.7485930176194602,11.8,0.5,-332.28,-395.0,21.99,63.57,-34.02,37.344291000695115,-10.1876675603217,45.0,-0.14439385114046743,-0.02536885302600654,-0.23804999622892178,0.29000000000000004,0.44607287670846246,76.1731,77.5198
000400.XSHE,21.6802,1.3155,1.0997,-402.7645,1.7636518338819274,0.0034292282415615883,9.044780396237151,0.5069794713702201,16.29,2.89,84.35,146.63,-25.19,-74.08,-71.16,51.96535562932556,-3.5823546827198225,35.0,0.22466915257674103,0.3638992164630699,-0.2784601277726577,0.3800000000000008,0.9177990504854349,101.4212,101.4377
000401.XSHE,20.4307,1.5385,0.9628,-32.3182,2.7653313451810138,0.3203160351280012,5.147676123453603,1.3635555857523054,32.01,13.28,101.95,115.61,15.57,51.07,53.59,54.493590199356134,2.0063753984624078,60.0,0.19892716429185775,0.17704060461385404,0.04377311935600742,0.3800000000000008,1.9469445818812836,175.0035,175.0432
000418.XSHE,18.5258,4.0686,1.3883,-16.8918,2.147179644228941,0.0016540991023395403,10.476976997559357,0.588791245088763,25.27,9.31,96.07,21.99,-0.91,0.89,3.79,61.72155679208354,6.364172068355922,60.0,1.468635256364088,0.7922775563984663,1.3527153999312436,1.5899999999999963,0.5527089582937681,220.1214,316.8764
