,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000009.XSHE,25.2936,3.299,0.9005,9.1747,2.6349288399408226,0.5479796691530218,2.3849883609880123,0.6326293495627958,18.57,5.67,51.35,349.83,44.58,16.17,3.39,55.22310709260112,0.6773141567020613,45.0,0.17958028137543813,0.23273255984931646,-0.10630455694775665,0.2900000000000009,0.638259483193318,307.9576,311.3111
000012.XSHE,8.9278,1.3813,1.1103,-183.8749,1.862307534397396,0.423437436807624,2.7450673635956964,0.7517940297661172,22.24,9.64,93.15,-65.3,46.13,-0.81,1.24,39.58070617755098,-1.0979657843220814,40.0,-0.15565927860068918,-0.15955020112696594,0.0077818450525535265,0.10999999999999943,0.4961073559029003,116.6065,183.0132
000021.XSHE,60.2409,2.9993,1.902,-35.8133,2.291670639633272,0.24828517269476552,5.082565533057202,0.7783443885101259,10.75,3.12,86.77,305.05,7.75,-51.07,-50.63,50.715401145480364,-4.03710951656157,50.0,-0.13193918431768736,0.5242179787593174,-1.3123143261540096,0.5899999999999999,4.497470871397188,311.8474,311.9615
000027.XSHE,13.5436,1.0849,0.8283,6.812,2.6672639906639404,1.0591109670296288,1.9215606963898773,0.8913383574042777,22.15,9.45,96.58,242.13,4.2,54.27,44.33,52.848383731583894,1.050371846967712,35.0,0.05012574486721011,0.024891834863895113,0.05046782000662999,0.1299999999999999,0.5059831425429876,313.512,313.512
000031.XSHE,-6.0095,1.0007,0.4185,4.5085,4.290776649439086,1.376589105832081,3.4083395702190367,0.6162681016646978,30.29,10.06,95.04,640.76,-25.61,-39.31,-22.63,44.74358776871084,-2.8146574614976183,35.0,-0.05887552695681286,-0.024867406810781156,-0.0680162402920634,0.11000000000000032,0.36264701919206155,146.5057,156.8791
000039.XSHE,22.2065,0.7937,0.2801,-4.6896,2.3369890564162983,0.37278920745518196,3.6043179280466258,0.777613508641692,13.68,1.79,18.58,99.47,-25.05,-69.83,-76.36,47.820871395958854,0.7043308856586199,45.0,-0.05442316092440613,-0.0848218394007925,0.060797356952772746,0.05999999999999961,0.3886971078149196,158.567,371.5447
000050.XSHE,-35.8799,0.7681,0.7402,7.382000000000001,2.7156598242039465,1.0790585926565623,2.128047724224662,0.8933634900794037,5.95,-8.59,138.49,-54.41,-11.15,-915.71,-937.86,44.33746802177456,-1.8129311727900004,45.0,-0.15429804004161696,-0.12256403787144343,-0.06346800434034705,0.14999999999999858,0.21737981674745793,218.0979,225.6212
000060.XSHE,14.7961,1.2331,0.3088,137.2713,2.215345139541491,0.48271680989634774,3.1757372994431963,0.9538600446160177,4.53,2.24,96.38,8.73,13.99,20.29,11.56,51.435782117294096,0.5929690808979157,40.0,-0.029474846245696185,-0.02258426051850563,-0.013781171454381111,0.17999999999999972,0.748240169390157,177.52,177.5334
000066.XSHE,-655.7075,3.3361,3.3301,-52.1636,2.2296807091769497,0.6571072455261555,1.9132095336463564,0.4379462611930822,21.14,-13.56,121.95,89.39,-22.29,-157.18,-176.8,55.19160028787864,-1.2575021434695637,40.0,0.6024319810423435,0.6915268978446169,-0.17818983360454665,0.379999999999999,1.8059190425192708,435.2015,446.12800000000004
000089.XSHE,-14.9749,1.3478,4.8641,-1338.4621,2.3449438951804975,1.0081979769690428,7.861557787910095,1.3818929950647791,0.9,-11.55,125.57,-138.78,39.99,65.71,64.53,43.93044370212632,-0.5081955479206782,45.0,-0.06926594883679105,-0.07323658605566977,0.00794127443775744,0.08000000000000007,0.2626521981561621,142.5266,142.5285
000155.XSHE,28.0897,3.7653,5.4556,-40.4823,2.1571912602724908,0.7444103195612266,1.602399873092556,0.5887869322826527,69.06,51.76,99.32,7.93,26.87,39.38,32.98,48.07194508818413,0.8897919148041679,55.00000000000001,-0.18974602641172034,-0.27072205484891887,0.16195205687439707,0.3600000000000012,1.1975591197373334,186.7581,212.5335
000156.XSHE,20.2743,1.097,1.6897,10.0065,1.7941519629933063,0.2299770004773715,3.194377036232319,0.8381629285891107,29.02,7.3,80.19,-337.64,7.83,7.41,1.56,43.7935605699559,-6.432748538011679,45.0,-0.21595735383291448,-0.019268933876273434,-0.3933768399132821,0.1899999999999995,0.5230277159230338,136.1598,161.2051
000400.XSHE,28.7648,2.2705,1.4792,26.3869,1.700010362659935,0.01650603315736243,2.3708725080182966,0.4886204004602186,13.21,5.46,96.33,-47.05,32.18,42.52,37.99,54.321053225275875,3.9810533438592715,50.0,-0.06576229368127784,-0.21600047423607702,0.30047636110959836,0.7800000000000011,1.781612053376505,232.4062,232.4194
000401.XSHE,24.5306,0.6615,0.5636,10.379000000000001,1.985121596726532,0.5039148221923929,2.378579627446499,0.8915030797338775,5.03,-17.16,104.69,18.18,4.35,-258.17,-247.41,37.966292868160046,-3.3315844700944446,50.0,-0.2444495518144736,-0.22268084903132854,-0.0435374055662901,0.08999999999999986,0.48450430175560144,114.036,195.9104
000402.XSHE,-45.148999999999994,0.3582,0.7247,13.5301,3.710802454030803,1.845403259684567,2.7721339944785095,0.34374343117845346,18.15,-8.22,105.63,-820.52,-39.68,-119.37,-124.93,39.423238564226466,-2.854065697361342,35.0,-0.11147157859854762,-0.0892325534850019,-0.04447805022709142,0.10000000000000053,0.24734698374488917,135.0499,135.0996
000415.XSHE,-12.9485,0.4737,0.4079,-147.7497,5.979178879085456,4.148038715631557,8.72195555738673,3.404165151508915,50.24,5.73,27.68,789.71,-1.23,147.88,137.08,41.58014805399121,-2.665121668597919,35.0,-0.045993706262859924,-0.027171775575414732,-0.03764386137489038,0.040000000000000036,0.2479024233387102,113.2475,129.8749
000423.XSHE,38.4305,3.2597,8.1557,14.4035,1.2264791322698596,0.016273304479509212,0.371173435261407,0.21845857375437636,70.78,21.56,92.17,265.7,20.06,77.56,100.94,62.97510697063902,9.062713610904225,55.00000000000001,0.799714136341251,-0.07933674291409043,1.7581017585106828,1.2800000000000011,1.202872791583568,344.2056,344.2056
000513.XSHE,18.7834,2.5483,2.8974,56.9108,1.6619463735557747,0.1846846156568439,0.6940769324422742,0.41177171056380946,63.07,17.99,97.94,43.14,-1.9,2.04,0.45,54.734891336788124,0.18786902844872025,40.0,0.474766014360668,0.614928746981678,-0.28032546524201996,1.0600000000000023,0.7465751568246247,235.7403,364.0236
000519.XSHE,50.0531,2.591,4.1244,109.7026,1.4792035689960878,0.060074592546704136,0.7007866330331103,0.4217188140754654,24.85,-4.42,108.98,3922.32,-43.83,-105.06,-112.18,47.06669902128712,1.8810542915070738,60.0,-0.31898988039316123,-0.5471036706172032,0.456227580448084,0.3400000000000034,1.6678869057059438,251.7225,251.9139
000537.XSHE,29.6982,1.3052,6.1893,-6.9562,2.096904779872718,0.9555564924290488,0.5419765977859926,0.2352338010031695,54.51,30.39,99.81,196.79,10.35,58.15,56.1,50.09273399120692,0.004284673722101299,45.0,0.0047025326173884,-0.0006940401450612032,0.010793145524899206,0.13000000000000078,0.3133078165165325,217.3562,217.3562
000547.XSHE,-71.0968,1.8159,5.3441,76.4122,1.4152033616644635,0.03290333582390433,4.448363643557445,0.4826299104299304,16.07,-25.29,131.79,33.65,-46.16,-176.91,-189.08,53.0281600882436,2.9124215292785784,55.00000000000001,-0.0017558370894033004,-0.12009477642768261,0.23667787867655862,0.1899999999999995,1.3988171539164926,158.8351,159.8468
000553.XSHE,74.1989,0.8571,0.5318,-100.4496,2.5720368183732196,0.6035336628221175,6.387850866261385,0.653528498554525,24.59,0.97,49.8,-693.99,-4.5,-86.79,-80.53,45.646790214129254,-0.7058823529411823,55.00000000000001,-0.11521708218204374,-0.09893937867611534,-0.0325554070118568,0.15000000000000036,0.12834250890491813,183.7445,196.6361
000559.XSHE,22.2532,2.0103,1.3121,-11.6636,2.183498808336238,0.1203814655460892,2.1143894179681526,0.8217772933968492,15.0,7.46,86.3,25.63,-7.64,-9.28,-0.37,65.17843732530737,3.229472487925003,45.0,0.14725175254162348,0.12336827832374296,0.04776694843576104,0.10000000000000053,0.543110521616322,150.0406,180.0566
000563.XSHE,15.6591,0.9424,7.0783,40.1455,1.3597945906943143,,,,,55.33,93.0,-189.72,85.14,89.04,89.83,41.054979072846855,-1.45395799676898,45.0,-0.06281238880753559,-0.05650700460683808,-0.012610768401395023,0.07000000000000028,0.8390019494907678,155.9761,155.9761
000581.XSHE,-84.3769,0.8747,1.3669,12.1198,1.5375541366269632,0.0371561772565099,3.603164218923914,0.6645067322015705,14.38,13.53,85.72,1427.28,-27.6,-43.74,-44.34,48.08091058882954,3.2110091743119282,55.00000000000001,-0.15194135613386095,-0.4488633593883875,0.5938440065090531,0.39000000000000057,0.6176810031624318,129.7926,157.9063
000591.XSHE,17.5135,1.1915,2.7761,11.2781,2.0699804764768475,0.7497001163595924,1.7682133489337655,0.4027258175841676,40.47,22.8,94.52,221.4,22.27,45.78,49.43,48.473548837415834,-0.05896226415094999,45.0,-0.03473865251083552,-0.03177801744843608,-0.005921270124798886,0.0699999999999994,0.720151545497239,243.7522,265.0456
000598.XSHE,9.8621,1.0693,2.0865,55.1878,2.406990920525641,0.9232636979326966,2.6978707158707924,1.174763245699991,42.18,24.57,96.89,-15.23,9.72,9.71,8.63,55.48801226690948,1.39109326860238,35.0,0.004739663723371201,0.0032502927566041722,0.0029787419335340582,0.07000000000000028,0.2632271888959799,161.1937,162.1163
000623.XSHE,8.4527,0.718,6.18,-34.9983,1.174230770834339,0.011749876380617004,3.9122513452152985,0.7379056924375359,47.54,62.27,91.62,-303.63,23.64,11168.1,792.0,44.40733959042345,-1.8079800498753067,40.0,-0.28003868832428935,-0.13282670235658037,-0.29442397193541797,0.28000000000000114,0.6187741997326494,185.9535,186.5621
000629.XSHE,27.949,3.6819,2.2571,25.8868,1.2582015925779007,0.061622235555085295,0.8639501842531143,0.4679530152518758,14.26,8.33,98.23,-54.1,-4.49,-30.97,-33.4,41.87165924971847,-0.8369261983261232,40.0,-0.12468113503174871,-0.15006094527291203,0.05075962048232663,0.08000000000000007,0.49316226116520956,335.8532,336.3391
000630.XSHE,11.0413,1.1741,0.2391,29.9414,2.025972345205035,0.26512401777346434,2.5047362931774555,0.5919372665596693,4.85,2.1,110.28,-217.15,18.6,5.24,2.56,45.35172130994034,-0.13821700069110043,40.0,-0.047510671308405694,-0.06050934393410903,0.02599734525140668,0.06000000000000005,0.7309797114998929,304.2128,304.2168
000636.XSHE,86.5577,1.4845,4.7894,4.029,1.3109488702513183,0.10589340994952119,0.45976614738911104,0.3193873248928168,11.08,6.55,54.63,233.18,-15.25,-68.63,-66.44,45.69027085488354,-0.7922392886014583,55.00000000000001,-0.18802336899097227,-0.2025030266884021,0.02895931539485963,0.29999999999999893,0.5921018635048595,165.4384,177.4858
000683.XSHE,10.3277,1.9644,2.4081,-11.042,1.8021286312349851,0.263529171657299,3.8583296456144827,1.1475369991452327,41.55,31.09,100.22,84.73,-6.62,-14.61,-16.13,53.43884941072028,5.201550954715051,30.0,-0.03799405374020015,-0.14172746957796473,0.20746683167552915,0.45999999999999996,2.1317333003573964,235.6041,260.4044
000703.XSHE,-13.9892,1.0607,0.1689,12.2386,3.401428832713336,0.6955644407184337,6.3766902817942555,1.431651336321984,4.24,0.59,22.57,1132.84,-14.65,-95.99,-84.51,43.84963415201666,0.14031460010339064,45.0,-0.14188732125696912,-0.2089706209553012,0.13416659939666414,0.13999999999999968,0.22726832112480097,247.2751,248.5749
000709.XSHE,17.458,0.4526,0.162,-4.1563,3.804597900767289,0.6758986261012921,6.508124101077911,1.948851458263153,9.96,0.94,59.88,4795.55,2.41,-53.83,-18.38,45.39170348582658,-0.06752194463200796,35.0,-0.030548593639242227,-0.031871351268290424,0.0026455152580963925,0.040000000000000036,0.339940792029785,233.5802,233.6189
000728.XSHE,11.991,0.8453,4.5108,10.3252,3.9510749074018685,,,,,33.55,98.47,-380.85,165.65,426.8,533.87,43.120471407821306,-1.3988657844990586,40.0,-0.09933148117165302,-0.06657077841658786,-0.06552140551013033,0.1299999999999999,0.5338872747159595,284.5176,284.5183
000729.XSHE,84.4898,2.6054,2.5789999999999997,77.8064,1.5580826379691588,0.013651057899032834,4.851305506551472,0.6255767737191549,36.78,2.55,87.49,421.41,13.74,119.4,185.54,49.38269324919646,0.18597881458721974,65.0,0.11490479483563476,0.050533024794204795,0.12874354008285993,0.45000000000000107,0.6224132224594111,312.9421,351.4719
000738.XSHE,44.6775,2.8108,6.3264,36.888000000000005,1.310524479595627,0.08147650589267988,0.8032806445980568,0.2389881710168435,33.12,18.23,99.03,-104.17,10.81,14.99,14.14,59.378077272714926,5.335865998963897,40.0,0.2640586046248963,-0.08625169158517335,0.7006205924201392,0.6000000000000014,0.8575175026022842,320.9049,320.9049
