,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000009.XSHE,36.3222,4.4845,1.874,142.142,2.5221265114047324,0.38789456123769883,3.3464500470054617,0.6811862666626171,24.83,7.93,121.96,-87.84,53.26,19.59,27.46,57.83687272388009,8.847720808670948,35.0,0.30967010718952714,0.053278542074211274,0.5127831302306317,0.6300000000000008,4.268487168768164,363.0685,367.0221
000012.XSHE,15.2647,1.7322,1.5253,71.6754,1.6902069443308936,0.21897188803311463,2.5087085000382627,0.8840192058790991,28.34,13.92,87.63,25.53,-7.35,-35.87,-32.97,50.21588235773533,-0.8857666463042124,40.0,-0.13486124830014212,-0.023392452581988493,-0.22293759143630726,0.33000000000000007,5.369344384706095,130.3086,204.5081
000021.XSHE,22.4307,1.8202,1.1241,8.7087,2.386286245184321,0.13828306233861637,4.363210239555426,0.8496655531294894,8.22,6.82,-8.61,-307.32,-4.6,5.87,7.94,54.83281914415158,2.332514907050158,45.0,0.2846711947708993,0.24626380842699458,0.07681477268780945,0.3000000000000007,0.9706783275442654,183.3016,183.36900000000003
000027.XSHE,19.3092,0.6583,0.8739,-304.4769,2.551305665463918,1.035821850217819,2.1141444182018136,0.883203463989529,19.06,6.82,115.37,264.9,36.31,-3.46,-6.26,48.61027462576521,-3.160830492717677,50.0,0.003519983708337726,0.09646594043966235,-0.18589191346264924,0.14000000000000057,0.42550540017582195,303.9972,303.9972
000028.XSHE,9.8164,0.8149,0.1781,-15.5033,2.4482492029692664,0.12782641802076933,5.334574220933197,0.7158541589631828,11.21,1.72,95.99,-61.58,6.86,-20.42,-24.33,46.96990239803595,-1.0428423096022825,55.00000000000001,-0.06561521668414727,-0.018766850190412795,-0.09369673298746894,0.40000000000000213,0.33702547598142535,106.2382,123.6859
000031.XSHE,-58.6029,0.8139,0.3505,-1.6868,3.962978534802811,1.1608472740290887,4.073015362061431,0.6163553955558244,36.93,9.67,120.29,-22.33,18.72,56.95,61.58,43.37100570498734,-2.0463847203274264,25.0,-0.07687022075651662,-0.07560500316150574,-0.002530435190021746,0.0900000000000003,0.4313357548544981,67.8779,153.8786
000039.XSHE,6.8975,1.0088,0.2779,4.6117,2.5856507007441683,0.4600105846283292,2.800497237748771,0.7937508936226376,15.3,5.68,91.15,236.55,23.19,17.65,15.35,44.535592882529045,-1.2794857801224608,40.0,-0.06496576066110116,-0.04910078787974948,-0.03172994556270335,0.16000000000000014,0.7457091223365987,202.0635,473.4633
000050.XSHE,14.6255,0.7918,0.752,12.6913,2.5658037709701156,0.9638604258406673,3.113492224119875,0.9552362672947889,13.87,0.91,-150.51,-3263.0,4.87,-84.06,-84.77,51.281686850086075,0.5170630816959928,40.0,0.015344463670658115,0.02335116343820924,-0.016013399535102252,0.1899999999999995,0.3000021874558382,230.9252,238.8931
000060.XSHE,13.3613,1.2986,0.3326,9.4477,2.1757395228292946,0.4994254124247706,2.28446262858452,0.8430997136779284,5.21,2.29,101.46,29.81,61.78,23.26,19.57,53.09910153651934,1.3685919740199528,40.0,0.020055016327000352,0.01331555469246003,0.013478923269080643,0.08999999999999986,0.6919942580026631,166.6796,166.6943
000062.XSHE,14.6986,2.1291,0.5356,9.6368,2.388557441882713,0.2916048616072101,2.3895953102327145,0.6258854109514737,10.78,4.36,98.45,136.99,26.19,-4.3,-2.65,53.62564185020269,2.2334201648375407,60.0,0.07082100483508924,0.004408772851730081,0.13282446396671832,0.1899999999999995,0.35724067000443777,128.6889,128.856
000089.XSHE,-36.7146,1.2138,4.4424,100.5499,2.2697446928341893,0.9186075223053131,8.774995057413534,1.3393674913892468,-40.88,-45.59,102.81,-58.4,-17.65,-805.32,-657.26,51.17406126381552,-0.49533799533799255,35.0,0.033287775891427174,0.059890351501585885,-0.05320515122031742,0.15000000000000036,0.6973063500847698,140.6809,140.6828
000156.XSHE,15.5797,0.972,1.5295,-21.8118,1.6961515814330135,0.22918996578255127,3.699631223642264,0.6349049561917023,29.14,7.75,82.51,-644.79,19.11,12.49,11.22,43.747493925052936,-1.6347631689255397,35.0,-0.06908577381395276,-0.05980483060233334,-0.018561886423238833,0.16999999999999993,0.3383161374181155,116.2836,137.6729
000158.XSHE,76.9487,1.6915,0.8996,-17.3429,2.5848892021767447,0.4289532629381155,9.230776070885403,0.7366016330666777,6.03,-5.32,168.18,713.01,36.97,-39.09,1.03,54.33300173554404,3.049759229534517,45.0,0.2656482805904732,0.17634605436291298,0.1786044524551204,0.1999999999999993,3.4359127326289594,101.2465,102.6312
000400.XSHE,30.0597,2.3438,1.7647,26.0298,1.6835654911833435,0.08157492301280354,2.6539471040649487,0.43580475944078007,15.37,5.23,93.06,-266.86,36.04,37.05,34.54,57.836930555250746,4.811610781439905,60.0,0.5420678255749216,0.7183768673700547,-0.35261808359026614,2.0500000000000007,9.293717278313594,223.1271,223.1428
000401.XSHE,9.759,0.8203,0.7084,-8.3751,1.8015035193801456,0.3588912779475703,3.276248596605917,1.0387973960602055,20.58,-5.15,107.37,260.82,-2.51,-2691.89,-1041.97,38.98879674775744,-2.2098306484923627,25.0,-0.24559335829375328,-0.20259885329162786,-0.08598901000425085,0.13000000000000078,0.4122561168010386,149.3143,256.5176
000402.XSHE,8.4783,0.4498,0.6264,-2.4817,3.600346784779151,1.6178799699704938,3.509255295352024,0.39939481001219784,21.45,19.88,15.81,-891.92,210.48,60.86,94.55,50.10940486941515,1.3645224171539794,45.0,-0.008785225665477014,-0.06297315511853235,0.10837585890611068,0.09999999999999964,0.7071952493067611,171.2026,171.2657
000415.XSHE,-8.531,0.5346,0.4846,-1.1599,6.238445420182728,4.314804271792899,8.67253920963742,3.304683933728586,49.07,-15.27,133.43,490.84,13.35,-128.15,-154.93,47.05727492771789,-1.7958626960672623,35.0,0.0028693999725626362,0.010980654300471938,-0.016222508655818604,0.040000000000000036,0.37135499612373524,86.2348,133.5857
000488.XSHE,16.3477,0.8956,0.522,-9.7823,3.6463536087967876,0.43249577315776705,19.17251056005298,1.5102292418891916,16.19,1.55,87.46,169.47,-16.57,-89.17,-89.43,47.43985748848906,-0.08204941197920107,35.0,-0.00501757181888518,-0.017731589302111363,0.025428034966452365,0.07999999999999918,0.6091930489756385,92.1639,163.5346
000513.XSHE,16.4157,2.1901,2.4359,-129.9451,1.5893486775540484,0.14631259205106667,0.6640795044793687,0.4184639067223625,66.15,17.57,101.4,100.38,3.86,3.3,2.24,38.002540636849695,-6.125843111891345,30.0,-0.7328307739192219,-0.2530651594174425,-0.9595312290035588,1.0100000000000016,1.2341007684831875,192.2703,297.0135
000519.XSHE,68.2452,4.9157,6.0737,63.0121,1.486927653616454,0.05132093373220306,0.7255605497295432,0.42470690476585926,36.76,20.37,98.98,-168.02,1.15,180.5,191.03,60.839694128334266,4.10375409262849,45.0,1.7309244376499962,1.7375356510671423,-0.0132224268342922,1.1799999999999997,1.8055174150785325,456.9652,457.3164
