,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000008.XSHE,-7.1413,0.9643,3.1985,-30.4418,2.001812156995549,0.23854407471929687,6.2234572613721175,0.8360950328446088,45.34,-58.45,101.88,88.19,25.11,26.94,18.99,41.10019388433215,-2.7144408251900107,40.0,-0.03502330466242842,-0.02561538605331259,-0.018815837218231664,0.040000000000000036,0.3794213073004742,59.7009,62.2898
000009.XSHE,33.4219,3.8305,2.1281,118.6773,2.3742951066295994,0.4917316972205559,2.287744890946437,0.5665282482530568,32.67,9.56,64.29,58.73,128.15,139.22,209.69,60.14498053681382,3.929653733419446,60.0,0.5209276080409886,0.453764718080119,0.13432577992173922,0.5299999999999994,2.118323416148283,268.4105,271.3333
000012.XSHE,22.1647,2.5506,2.3035,-15.0689,1.6339479430767607,0.30890456261884536,1.805779447279855,0.7132473284652692,37.31,19.23,99.92,48.71,73.41,366.72,416.44,73.30951034398926,15.405701754386003,60.0,0.7848273147295153,0.4960943941610595,0.5774658411369116,0.2400000000000002,2.1727490923541395,175.4367,275.134
000021.XSHE,26.0366,3.2687,1.6423,61.0346,2.563874010595513,0.3038626305192806,8.339890307406813,0.7737767854529275,7.78,6.02,32.0,137.45,15.17,111.86,122.22,32.51245645014956,-8.468566753034239,30.0,-0.6728408854164734,-0.4834628719525463,-0.37875602692785415,1.2800000000000011,2.1904773612474018,253.9834,254.0865
000027.XSHE,9.4917,1.4786,1.7848,-17.5794,2.6567195745053427,1.1704469007811136,1.6788530217748225,0.8396060350077083,26.58,9.92,106.26,115.56,59.34,107.04,138.36,45.69987700368354,-11.586051743532078,35.0,-0.22150610055918918,0.2671012522559614,-0.9772147056303011,0.3100000000000005,1.8371892685535343,402.9509,402.9509
000028.XSHE,12.0763,1.2534,0.2846,-11.1612,2.4831026657100956,0.1376186233611859,4.372235111188874,0.7231081910877791,11.15,2.43,97.81,-79.31,25.15,26.44,32.02,49.838266899734215,-1.156745515986454,50.0,0.09111379848429024,0.36048224217561364,-0.5387368873826468,0.9100000000000001,0.7897738478497852,153.7127,178.9571
000031.XSHE,-50.917,0.8404,0.3923,-26.243000000000002,4.431896176934424,1.3232360665405172,2.98387307769637,0.6339080862357575,30.29,7.11,100.9,-195.79,26.24,-1.44,6.07,37.70231205896605,-4.923157072154209,30.0,-0.1165875716065421,-0.07330657543163964,-0.08656199234980491,0.11000000000000032,0.43066966941340207,69.0123,156.4504
000039.XSHE,7.7477,1.4155,0.5421,16.9202,2.75480181773111,0.5820106717146626,4.405148396542773,0.886449375685875,15.62,6.06,92.38,150.35,82.08,481.78,355.68,54.85126255985605,-0.09664784577037668,45.0,0.13939107584647914,0.23143196319128836,-0.18408177468961845,0.1999999999999993,1.2164328722675009,247.9383,580.9542
000046.XSHE,-3.0738,0.8653,0.7969,5.2058,4.979368199249731,0.8872957185505641,6.217894228101319,0.8496610158142639,79.55,-0.57,97.16,323.13,165.94,322.06,85.29,44.68508684467214,-0.4705030763662649,35.0,-0.06720382024293103,-0.062446972749853835,-0.009513694986154397,0.06999999999999984,0.26280661909155695,142.83,142.8955
000050.XSHE,20.1935,1.0029,1.1041,35.8914,2.2208142747811412,0.693780910406702,4.543910517393707,1.1931470087337648,16.57,6.27,65.3,160.26,26.06,76.17,72.09,41.26858807115949,-1.8970383337501424,35.0,-0.1660130660672845,-0.21157828530146952,0.09113043846837005,0.27999999999999936,0.8953733140484846,289.9092,341.6269
