,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000009.XSHE,25.3355,3.3045,0.902,9.1899,2.6349288399408226,0.5479796691530218,2.3849883609880123,0.6326293495627958,18.57,5.67,51.35,349.83,44.58,16.17,3.39,61.85804068862926,8.29741379310346,50.0,0.26843796339809245,-0.02014635416107194,0.5771686351183287,0.2599999999999998,1.5424636773267417,308.4679,311.827
000012.XSHE,9.1375,1.4137,1.1364,-188.1941,1.862307534397396,0.423437436807624,2.7450673635956964,0.7517940297661172,22.24,9.64,93.15,-65.3,46.13,-0.81,1.24,28.622484063276215,-4.6932564472208895,25.0,-0.17296082293664927,-0.12072803697499392,-0.10446557192331071,0.0699999999999994,0.3561299840981437,119.3456,187.3122
000021.XSHE,68.9802,3.4344,2.178,-41.0088,2.291670639633272,0.24828517269476552,5.082565533057202,0.7783443885101259,10.75,3.12,86.77,305.05,7.75,-51.07,-50.63,65.71712786508905,22.24820578985564,55.00000000000001,1.3541935309966782,0.8212257927644958,1.0659354764643647,2.870000000000001,12.347940261620918,357.0879,357.2185
000027.XSHE,14.2012,1.1376,0.8685,7.1428,2.6672639906639404,1.0591109670296288,1.9215606963898773,0.8913383574042777,22.15,9.45,96.58,242.13,4.2,54.27,44.33,62.78582348248539,2.0223362511318963,45.0,0.1564356446762698,0.15297381157539355,0.006923666201752499,0.16999999999999993,0.4688349156537792,328.7356,328.7356
000031.XSHE,-5.9767,0.9952,0.4162,4.4838,4.290776649439086,1.376589105832081,3.4083395702190367,0.6162681016646978,30.29,10.06,95.04,640.76,-25.61,-39.31,-22.63,42.34418732877039,-5.3069719042663825,40.0,-0.07669170482096765,-0.011130322240300018,-0.13112276516133528,0.06999999999999984,0.3222701878759851,145.7051,156.0218
000039.XSHE,22.0131,0.7867,0.2777,-4.6488,2.3369890564162983,0.37278920745518196,3.6043179280466258,0.777613508641692,13.68,1.79,18.58,99.47,-25.05,-69.83,-76.36,37.67317956704559,-2.2743947175348405,40.0,-0.13628522936796905,-0.12712220945863262,-0.018326039818672868,0.08999999999999986,0.2437733809726745,157.1861,368.3091
000050.XSHE,-37.7951,0.8091,0.7797,7.7761,2.7156598242039465,1.0790585926565623,2.128047724224662,0.8933634900794037,5.95,-8.59,138.49,-54.41,-11.15,-915.71,-937.86,51.07404583082052,4.954686058501114,60.0,-0.134523086500538,-0.2769521551744634,0.2848581373478508,0.21999999999999886,0.37132231965529827,229.7393,237.6642
000060.XSHE,14.7026,1.2253,0.3068,136.4043,2.215345139541491,0.48271680989634774,3.1757372994431963,0.9538600446160177,4.53,2.24,96.38,8.73,13.99,20.29,11.56,45.22990044445221,-3.175102169129195,40.0,-0.08757814271310149,-0.027718671371516443,-0.1197189426831701,0.07000000000000028,0.569947517756167,176.3988,176.4121
000062.XSHE,14.4692,1.7481,0.5662,35.3748,1.9494372866900176,0.15267394850035312,1.837984274359268,0.6022814948326428,11.57,3.95,95.11,660.15,-34.31,-40.05,-40.4,41.96835904160336,-0.20684705981679044,45.0,-0.29154380609176833,-0.3359030165630174,0.08871842094249816,0.1999999999999993,0.35939772103715434,123.9878,124.1494
000089.XSHE,-14.9102,1.3419999999999999,4.8431,-1332.6846,2.3449438951804975,1.0081979769690428,7.861557787910095,1.3818929950647791,0.9,-11.55,125.57,-138.78,39.99,65.71,64.53,33.99426138468754,-3.176157828459498,30.0,-0.16181973988167186,-0.10446093747146745,-0.11471760482040883,0.08000000000000007,0.3372976532733253,141.9114,141.9133
000155.XSHE,27.3289,3.6633,5.3078,-39.3859,2.1571912602724908,0.7444103195612266,1.602399873092556,0.5887869322826527,69.06,51.76,99.32,7.93,26.87,39.38,32.98,38.325652738079704,-4.884755083336151,40.0,-0.4311561871744356,-0.35262822044688397,-0.15705593345510327,0.34999999999999964,0.8460244611492701,181.7001,206.7773
000156.XSHE,20.8336,1.1273,1.7363,10.2825,1.7941519629933063,0.2299770004773715,3.194377036232319,0.8381629285891107,29.02,7.3,80.19,-337.64,7.83,7.41,1.56,48.879344303112475,-3.6610994359031026,45.0,-0.21772582854018552,-0.024270151994192846,-0.3869113530919853,0.2599999999999998,0.7368865108290745,139.9159,165.6522
