,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000008.XSHE,171.0296,1.0523,2.8945,24.4154,1.6763275852507147,0.12917154877257145,5.428203619288534,0.7032086237487878,40.91,11.14,56.37,3195.01,-15.97,-26.57,-32.89,41.09336287117744,0.0735835172921348,50.0,-0.03472695879012999,-0.05412992410815677,0.03880593063605356,0.029999999999999805,0.6593104410911711,72.493,75.6376
000009.XSHE,30.8498,2.8364,1.881,18.195,2.457945315120273,0.5393206705956899,2.0033737165705396,0.5634430746532181,34.77,16.18,-6.65,352.04,3.47,89.15,147.62,45.53609114910523,-3.4698669449517237,55.00000000000001,-0.06863632347527027,-0.006351923951513301,-0.12456879904751393,0.21999999999999975,1.3023216898276735,189.8612,191.8935
000012.XSHE,29.2574,2.0694,2.0464,279.6267,1.7185549828209084,0.3299226064270238,2.2951981970978905,0.8877622623584198,32.91,11.4,93.56,166.78,9.76,117.23,98.01,50.67063275448543,-6.774753908511857,50.0,0.2285729318704206,0.4310769068196088,-0.4050079498983764,0.25,2.7335504515644584,134.0586,210.3424
000021.XSHE,57.8244,4.1829,2.2075,-137.7405,2.9439243139009417,0.21320460158023194,11.803246671926233,0.8733071324815365,11.18,7.78,30.31,1706.72,-0.01,62.11,77.47,43.26027699535315,-2.6339514144392266,40.0,-0.6284234879831985,-0.5041830461420024,-0.24848088368239218,0.6199999999999974,1.4858332924348736,302.1783,302.6381
000025.XSHE,41.7225,6.3033,18.5431,3215.8966,1.2111570390354,0.004602775941584377,1.4663007479559595,0.42830590109651906,21.27,14.79,89.67,1288.46,-34.27,-32.77,-29.86,41.94093202659398,-0.9208103130754918,45.0,-0.38909438394781404,-0.4929493471390859,0.2077099263825437,0.3299999999999983,0.7850647153844947,74.2351,81.47
000027.XSHE,6.9456,0.987,1.3667,31.3513,2.724645712989735,0.975949723897083,3.156124192536989,1.2825084340299888,36.25,20.35,93.13,178.61,9.55,54.99,53.55,51.961141476692696,0.8919152201016588,55.00000000000001,0.05334294610805479,0.02288108953815724,0.060923713139795097,0.15000000000000036,0.7364069924597705,269.744,269.744
000028.XSHE,16.1774,1.5629,0.3817,-24.4282,2.561971483415793,0.13749895903686526,3.5344850970584543,0.7311592671272331,11.06,2.64,100.05,134.03,13.65,18.68,16.32,49.75273585282608,-0.5893963863238045,50.0,0.23829229833901167,0.2968773880690298,-0.11717017946003627,0.5799999999999983,0.8613979752327516,181.9546,211.8372
000031.XSHE,25.8821,1.0569,0.6975,1.725,4.5116875657922,1.5244522444392847,2.6526023902879525,0.5856132423192022,41.31,8.97,88.34,510.25,38.23,-14.92,-31.77,46.07532151586612,-0.24101435607251062,55.00000000000001,-0.0013956793812619495,-0.03271903091845181,0.06264670307437972,0.1800000000000006,1.1273450024665335,86.3309,204.0285
000039.XSHE,33.0252,1.5076,0.6035,7.649,3.1753643153352757,0.9595570810590262,4.736163711429038,0.7312604254687569,15.0,5.04,49.05,779.98,27.54,675.3,920.18,58.98429727617548,-1.0831122900088306,60.0,0.8662581269888641,0.9855447866963025,-0.23857331941487692,0.620000000000001,2.9704911509308247,225.9982,529.5455
000046.XSHE,-10.2101,1.0035,1.5298,8.6312,4.77591289067212,1.1321643886447033,6.292584982703734,0.7225133955669748,32.79,-4.75,77.31,-140.1,20.22,-82.1,-103.51,44.5870641424643,-0.050607287449398373,55.00000000000001,-0.11597700248893528,-0.13137577816472368,0.030797551351576802,0.1200000000000001,0.26181581694899597,204.2181,205.2499
000050.XSHE,36.7142,1.1302,1.2753,-205.8826,2.1821936067692627,0.7178001869242986,3.7248813417455597,0.9710360910634815,17.03,5.64,54.23,917.24,-2.27,8.59,24.61,53.604578305404104,2.776457810060434,60.0,0.08410922590335623,-0.08428277019480399,0.33678399219632044,0.48999999999999844,1.4251209422479014,280.3731,376.7727
000060.XSHE,21.1181,1.579,0.649,256.6152,1.9092171668167492,0.49366473526683047,1.9069726683118193,0.5658494325625302,7.16,3.43,77.73,37.41,-6.66,45.28,49.93,60.55841752322434,6.793910474892079,60.0,0.24328781157550594,0.16598974051697757,0.15459614211705675,0.3100000000000005,4.917694654754319,177.7099,177.7703
000061.XSHE,27.4333,2.1516,3.7609,-23.8696,2.6665565445608297,0.7057271646175234,4.76375585530373,2.0247364672779162,35.68,12.72,83.28,309.02,9.16,-5.21,-1.88,40.59934352900716,-0.8698260347930521,40.0,-0.17185119441315688,-0.1973467290918312,0.05099106935734865,0.17999999999999972,0.7241573811291296,115.2886,115.3936
000062.XSHE,23.6596,2.6209,0.8969,260.9246,1.9560010491841189,0.08139403292183123,4.030543187845897,0.6657928780260735,8.91,4.2,96.27,-298.23,23.8,22.62,23.44,43.978624446144295,-1.2958795685574596,55.00000000000001,-0.19964167919581755,-0.20450307209566365,0.009722785799692213,0.22000000000000064,0.29275815528551474,142.5933,142.7666
000078.XSHE,148.8845,1.7474,0.2853,-39.2734,4.953268763475491,0.08669225215625107,19.473358616244848,0.9294006177731159,12.23,1.29,167.16,-204.42,10.43,-29.02,-50.01,47.08701586789832,0.4409603135717954,45.0,-0.030908078274134887,-0.04923789654457586,0.036659636540881946,0.0600000000000005,0.49587670784970833,107.4692,112.7842
000089.XSHE,350.1342,1.5421,5.8329,17.6298,1.1850656855631643,0.006121472576346823,1.256452178642814,0.8856062256066013,17.85,10.89,102.39,255.19,-10.61,-49.66,-47.08,54.693088269166054,3.3416924243307897,60.0,0.08306302420918144,-0.019307769987211315,0.2047415883927855,0.20000000000000107,0.8301905175244149,182.5185,182.5185
000090.XSHE,5.4439,1.4993,0.6926,-3.2825,4.041978916895369,0.8624495844271832,4.34147519802946,0.6124283299557098,17.67,4.84,96.09,-1041.62,26.16,220.15,1291.26,45.545839373127954,-0.19994783969397473,45.0,-0.059541230152552416,-0.08843459247801098,0.05778672465091714,0.1299999999999999,0.9456104714944205,128.5387,128.5559
000156.XSHE,22.7994,1.3141,3.4702,-43.1809,1.4272715022390576,0.13323138632625092,1.8349861819037574,0.35721641425634204,35.96,15.94,81.01,251.99,12.54,67.0,51.96,45.46007265486857,0.29630457874434407,45.0,-0.08267991947922049,-0.17253318166192932,0.17970652436541767,0.17999999999999972,0.49166023011142157,124.0606,138.8918
000158.XSHE,1044.0165,1.8840000000000001,1.3651,43.6373,2.3784173350291713,0.39182773451810715,5.439500852720429,0.729471454556757,12.65,1.44,-56.7,863.36,-28.28,232.91,204.49,38.77591190567131,-3.017543859649121,45.0,-0.2370159672482801,-0.28156787792427307,0.08910382135198591,0.16000000000000014,0.9370662044549721,108.7277,110.4644
000301.XSHE,73.3501,2.7811,2.225,18.2172,2.4762632460162033,0.5643245835572955,2.6821754631057724,1.2773932436516302,7.25,2.81,76.39,728.32,-4.35,-57.71,-55.79,68.40327638036858,9.530742524358821,70.0,1.1672558680938252,1.0109324222278024,0.3126468917320455,0.5400000000000009,3.294557310318093,126.4575,484.9368
000400.XSHE,26.6726,1.9966,1.5239,-152.8778,1.7857051745977168,0.0906196356539678,8.035930056445219,0.4673089921247692,22.32,7.42,94.48,2.1,4.63,43.27,41.78,60.13780367142956,6.711670777619139,50.0,0.950755552915254,0.5259771837146363,0.8495567384012355,1.1099999999999994,3.5144857111408654,168.9861,168.9957
000401.XSHE,9.2925,1.5736,0.6436,-24.9835,2.021079154838948,0.35235430951848346,3.1523507716470323,1.095236237147459,34.58,17.64,97.27,146.04,6.5,7.52,6.99,46.485551812608186,-0.9684031950236831,50.0,-0.008963339948131477,-0.04165661632750733,0.0653865527587517,0.3099999999999987,1.1548539521049361,213.9376,213.9866
000402.XSHE,6.9901,0.5982,0.8909,8.6685,4.334191264011903,1.7827692372376747,4.568728553238716,0.5215203312254739,35.33,14.55,61.28,241.66,21.37,73.61,58.25,54.382089440887626,0.2654531664770448,55.00000000000001,0.056316730577419705,0.05575195609973239,0.0011295489553746346,0.1999999999999993,0.5528088343328281,207.9395,208.0295
000415.XSHE,-4.8639,0.4975,0.4647,0.9942,5.605608373135624,4.009295263568845,1.0822202073015301,0.7630478878291123,39.39,-12.77,75.39,-2483.49,-23.95,-214.14,-213.21,44.60599427513098,-0.7462686567164349,60.0,0.015429397721040683,-0.011241068149501682,0.05334093174108473,0.1599999999999997,1.3691768477545738,94.3607,164.5083
000488.XSHE,12.2926,1.145,0.6722,-12976.0069,3.7839330809016065,0.614368276343345,22.648447790082795,1.3081460753612044,24.16,6.63,82.71,1078.81,-2.22,-11.1,-3.24,69.76112938149257,12.002674690738866,75.0,0.5274476395041594,0.32440843998694463,0.40607839903442955,0.2699999999999996,4.333190768362239,113.8329,204.7167
000501.XSHE,15.9227,1.0151,1.0398,39.2215,2.591479405709138,0.280615098576294,4.739784759071291,1.7111852670645578,47.52,13.87,81.87,342.28,-56.01,10.6,12.04,33.02356505016878,-7.360261427974317,45.0,-0.644892094329375,-0.6235314244347963,-0.042721339789157486,0.34999999999999964,1.1950414543791572,96.8216,96.97
000513.XSHE,23.6384,3.4328,3.9760000000000004,21.9714,1.4728648041010166,0.030924715640520146,0.642012760056679,0.4184410648751796,66.46,17.51,82.65,128.69,20.14,40.36,45.63,33.45509765613147,-7.07367904866985,50.0,-1.7391017635037542,-1.2716484224759963,-0.9349066820555159,1.0899999999999963,0.8802818354876004,255.0095,398.2084
000519.XSHE,46.7803,1.6607,2.4079,14.6488,1.3782049869661215,0.038257610529654804,0.7311755107179527,0.36937929534160246,24.92,9.27,96.33,157.41,34.54,36.18,19.66,51.12205773218314,3.9256198347107327,55.00000000000001,-0.03915566175633245,-0.21550650174431776,0.35270167997597063,0.2699999999999996,4.0941515897590905,140.5407,140.6485
000528.XSHE,10.1259,1.0290000000000001,0.5238,22.8749,2.9206484589049375,0.15252642775572292,4.619147547525324,0.8402838882368608,19.85,5.96,71.01,-577.3,31.06,25.3,35.73,61.646183185326606,4.44846292947559,65.0,0.15822901078736518,0.08256365867702115,0.15133070422068806,0.22999999999999954,2.2571908489584707,113.5003,114.5315
000537.XSHE,4.785,0.8237,0.5246,89.5163,4.645099046003827,0.8629838548266825,8.563983233545892,0.6779933230574257,30.72,14.58,98.66,-204.19,-20.4,-46.49,-41.48,48.999840797717056,1.7832424069701116,40.0,0.008007743133890521,-0.07425604058489024,0.16452756743756153,0.23000000000000043,0.6171408809993485,115.3117,124.0439
000543.XSHE,10.5912,0.6491,0.5822,228.5188,1.7476455002598565,0.3392654467206452,6.901308277227618,1.9780109240572885,9.21,9.64,98.58,282.19,-1.9,-3.42,-4.47,50.86657087789911,1.482039688520465,45.0,0.003555853301777212,-0.02630500148397316,0.05972170957150075,0.08999999999999986,1.4239577899677343,74.4805,94.3015
000547.XSHE,44.5569,4.3575,7.6662,-78.1507,1.3847470071111792,0.007535894034495446,8.184444033674692,0.49507157403749574,30.85,11.72,79.02,37.1,10.04,33.05,30.4,56.2173585173601,6.265959536436867,45.0,0.03221666625549702,-0.13536621566114365,0.33516576383328134,1.0399999999999991,3.589522752817573,262.7783,349.9819
000553.XSHE,-67.2074,0.8954,0.6981,17.2684,2.198710468857213,0.5762581196676924,2.401049593485369,0.4761719835148959,28.3,0.3,48.39,593.91,1.54,-94.87,-90.1,48.74976969708219,1.447512468069575,55.00000000000001,-0.0037484656613937517,-0.0825515560156824,0.1576061807085773,0.1999999999999993,0.1328872004118388,182.65599999999998,196.6718
000559.XSHE,50.8207,2.5974,2.0301,6.4606,1.7339682132327336,0.10705537492507324,1.2059165152146336,0.5390432804192448,15.62,3.38,79.17,213.43,24.5,9.81,12.64,54.32081757062598,0.4793183028581597,45.0,0.23564093196126557,0.20305768963847226,0.06516648464558661,0.23000000000000043,1.1384086860735452,176.2014,211.4426
000563.XSHE,22.5672,1.2797,7.3924,20.1391,1.4654269161013098,,,,,20.63,100.01,-1141.79,35.94,21.28,16.85,50.76515948835502,2.040816326530598,45.0,-0.011438864952159733,-0.04715157902020781,0.07142542813609615,0.13999999999999968,1.349831599410513,149.0469,149.0469
000564.XSHE,-14.8332,0.6718,7.085,-2.3491,1.6649180493264368,0.13582463652300847,3.5634463802374214,0.6107396363705725,33.51,-10.55,276.44,225.78,-63.43,-697.98,46.48,56.448576633165196,10.978993261989702,45.0,0.005684100329500952,-0.042666947553712246,0.0967020957664264,0.07999999999999985,6.543959233944923,66.7963,199.2007
000581.XSHE,9.4287,1.4742,2.1102,-21.6757,1.436470152090131,0.024995662621277184,5.147558729658061,0.4760189241147896,18.1,27.71,63.37,275.29,73.49,97.99,93.58,50.019556580261906,-1.7855181955944093,45.0,0.21217841706856078,0.3325769418349641,-0.24079704953280667,0.7300000000000004,1.763256415792916,216.6485,261.3182
000598.XSHE,12.6497,1.2545,2.8426,6.1127,2.25008217362508,0.6757329153940053,1.740963782575061,1.040065933051563,41.26,27.74,99.2,192.73,20.95,13.49,14.01,44.912439010774385,-1.5410073430551339,40.0,0.005995274011570295,0.016491490736391903,-0.020992433449643216,0.1200000000000001,0.8789069890068282,150.804,150.804
000600.XSHE,10.1333,0.8399,0.7412,73.1471,2.2422214557879023,0.6765013135153274,4.195772494620635,1.3065688723209208,22.59,12.08,97.64,334.59,2.21,192.43,232.34,52.49821805170184,-0.5283293860448154,40.0,0.12040859738261478,0.11496647258949669,0.010884249586236183,0.1900000000000004,1.510123636958161,61.6965,101.4061
