,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000012.XSHE,24.8936,2.3679,1.9293,13.0829,2.1804508523407504,0.395207866342138,3.759793651900353,1.6383211890402702,26.52,11.3,87.47,230.72,24.09,25.82,26.94,47.57866451509485,0.058858151854029025,50.0,-0.0848475194229179,-0.07432072175334839,-0.02105359533913903,0.20999999999999996,0.9401364976121391,124.9767,197.6135
000021.XSHE,35.861999999999995,2.3447,0.8949,-22.8388,2.860605780709273,0.033756157079553296,8.876191427193817,0.8936867699351135,6.82,4.69,42.03,142.6,-4.41,82.89,97.74,51.65566175193901,-0.6379495285948148,55.00000000000001,-0.014073035658073607,0.06733073125301317,-0.16280753382217356,0.3600000000000012,0.8690304658838748,136.0545,136.2386
000025.XSHE,315.4914,14.0011,40.7599,-828.6887,1.3977462198445694,0.048232290965294945,2.626230756959008,0.7916233817855096,25.88,19.84,82.08,966.94,-7.44,74.03,81.01,45.27928046275967,-1.3645923341539417,40.0,-0.38783942947434014,-0.359114876410262,-0.057449106128156235,0.870000000000001,1.2347850440681323,85.56,131.1904
000027.XSHE,31.1666,1.1396,1.9281,-15.7498,2.767861485557841,0.9657778717780816,3.413051542710183,1.3856832504681869,27.03,10.52,91.86,173.1,18.81,-24.55,-13.39,41.3531037366549,-1.2422360248447126,35.0,-0.0356301893258788,-0.02439899491357436,-0.022462388824608888,0.05999999999999961,0.08739756196284856,253.331,253.331
000028.XSHE,26.5663,3.1513,0.6931,256.8129,2.4103108646303313,0.030128693541184578,4.2480948010675705,0.6880253571888714,10.24,2.48,99.17,101.86,1.96,-0.23,-1.8,39.33196075710173,-2.8969188248541147,40.0,-0.20766566592356384,-0.2593339252253669,0.10333651860360615,1.230000000000004,0.2972139001542368,206.3426,287.0591
000039.XSHE,28.136999999999997,2.0056,0.8184,10.0991,3.277298136258539,0.8654679236345951,5.1367699812014385,0.9200605702216451,18.34,3.38,101.39,443.03,79.86,175.52,181.34,57.65623615691163,3.3273949773001377,55.00000000000001,0.0748729429388959,0.026415024356146326,0.09691583716549915,0.41000000000000014,1.5351567424394335,243.2111,573.6205
000049.XSHE,34.8948,8.3278,0.9652,87.2776,3.829016217070511,0.002658901603836535,9.62980665015243,0.9078873773118452,8.39,2.73,96.91,-45.52,31.88,13.32,12.54,50.79693682520683,2.267437994547529,50.0,-0.4797087902555077,-0.6133763248218798,0.2673350691327441,1.259999999999998,2.606493163752455,107.5477,107.5477
000050.XSHE,37.367,2.4472,2.6984,-17.9606,1.887636422892441,0.25757837456788835,2.9398496590281757,0.9536526213614597,19.79,7.84,60.86,636.81,40.03,167.29,170.53,59.042753554236825,4.187035069075465,60.0,0.9249708410783839,0.7043917063541951,0.44115826944837755,0.6900000000000013,2.259989049419743,353.0561,353.0769
000061.XSHE,-114.12200000000001,2.9211,6.1614,-99.5191,2.794271918498159,0.7722818650702394,5.2445945073468225,2.1451732432503525,35.88,-0.08,368.61,17.13,26.33,-94.98,-100.25,35.328371932363396,-6.62400758383693,40.0,-0.15952130307946355,-0.08620173062882153,-0.14663914490128405,0.14999999999999947,0.3792464120556875,139.6272,140.1692
000062.XSHE,37.0185,4.2902,2.4498,137.8293,1.9412580444189285,0.17971732756023884,3.1707622026341347,0.7240288853745059,15.68,5.95,99.59,-78.99,52.89,15.05,3.17,37.271989143486465,-5.102617209565068,45.0,-0.48954156944464344,-0.31611102491315374,-0.3468610890629794,0.2699999999999996,0.2900233283975346,163.4694,176.7947
000066.XSHE,126.6635,3.4048,0.9968,-7.7038,1.9307670661356136,0.37753905633423535,2.337784862301004,0.5959060812362403,19.94,1.82,65.75,-1053.31,-88.79,-87.88,-80.31,34.66883993040755,-6.840271410232908,35.0,-0.258184868556266,-0.1461368082664789,-0.22409612057957418,0.2400000000000002,1.1884980927565387,195.7948,231.4039
