,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000006.XSHE,50.145,2.9361,5.1141,11.5408,3.134892134314627,0.9597370630174793,15.799611161143943,0.45333354330960157,37.46,4.96,101.63,1834.24,-2.06,-17.68,-28.48,48.151692295289536,0.4738106055688883,50.0,0.007143831992290295,-0.03448313581323007,0.08325393561104073,0.2400000000000002,1.4032144759605305,127.1168,127.5745
000012.XSHE,24.8887,2.9565,2.7442,186.0069,2.054780134555462,0.3303906861478375,-57.639488632983195,2.815038428565037,27.93,11.04,89.33,205.38,11.68,40.43,34.51,41.866095129008244,-3.109882515549408,65.0,-0.29520491902435975,-0.20689599085981591,-0.17661785632908766,0.1299999999999999,1.384258641898106,147.8818,235.3431
000021.XSHE,40.3478,2.5833,0.9426,28.4,1.9173063807428246,0.023213120406406926,27.759478618986655,0.79381184202345,5.7,2.27,25.11,188.52,-7.78,1112.7,4785.36,37.03494238916751,-3.341288782816227,35.0,-0.34825989914371647,-0.3215667266692107,-0.05338634494901151,0.129999999999999,0.4463694306995757,138.6035,138.7398
000025.XSHE,326.7266,18.371,52.5506,-714.9041,1.2892070319786983,0.019945499244549234,-9.051388978547322,0.7205555487745626,28.36,10.14,90.12,136.51,14.03,-27.79,-23.04,33.53253799154224,-5.462892501153945,45.0,-2.4120981519080615,-2.138513063204708,-0.5471701774067075,0.6099999999999994,1.0487828654188949,107.1584,164.3075
000028.XSHE,26.6579,3.9984,0.8747,22.3832,2.4168113965791473,0.03717540285364382,133.3132952729059,0.6500478519240136,6.65,2.55,96.34,17.13,6.79,-3.71,-2.7,38.70950557636952,-1.7326577844498572,35.0,-1.1826996063635633,-1.0787119570852335,-0.20797529855665964,1.1799999999999997,0.8679088885753834,156.0522,242.6008
000031.XSHE,56.7999,2.9387,0.9512,7.2801,5.86358626903885,2.186593591936779,11.69300313245816,0.512748451753396,16.46,1.15,137.59,1849.55,5.42,-77.59,-89.18,40.61706172803353,-3.5978653813048656,35.0,-0.12550426391464597,-0.05137953561538663,-0.14824945659851868,0.14999999999999858,0.7068016613814071,161.7841,161.7849
000049.XSHE,45.291000000000004,8.3528,1.0924,-726.7710000000001,3.250693306092972,0.00037701296203207794,30.965726419348226,0.8046245756693869,8.9,3.2,97.38,79.64,12.44,4.05,-2.55,50.02302090046668,2.165509788436748,55.00000000000001,-0.2508613719459305,-0.5115360331138816,0.5213493223359023,0.46000000000000085,0.7517116064218241,86.305,86.305
000062.XSHE,48.5316,5.3838,4.1272,243.4114,1.6540359068821568,0.11623353442079931,11.08675922978974,0.6434986662705765,17.68,8.82,95.02,28.18,419.49,122.88,150.51,49.04042429490688,-3.2168299198575023,40.0,0.03581941315804826,0.41115387333719094,-0.7506689203582854,1.1600000000000001,1.0810372032145181,189.4804,204.9261
000066.XSHE,127.0605,6.1839,0.2338,-67.869,4.455849268139919,0.44493148881659017,181.05960335736245,0.8624853640768106,8.38,0.76,80.59,536.65,-5.33,327.64,184.37,49.227976388605065,-1.3698630136986336,40.0,-0.0027319288558977917,0.11194568577477967,-0.22935522926135493,0.2699999999999996,0.5547867737232384,164.6521,164.6551
000078.XSHE,47.4288,3.2915,1.2770000000000001,98.2076,2.6951034874463526,0.034559497119516384,-7.785547135484938,0.6994587834217657,13.15,3.93,92.0,-258.65,34.81,-44.8,-51.22,35.249855960729924,-2.688256563433413,30.0,-0.16063210940990125,-0.14224789148507005,-0.036768435849662384,0.0600000000000005,0.6239043416722455,116.1791,166.8373
