,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000006.XSHE,37.7473,2.2434,3.7631,37.4194,2.8126850664188447,0.9826700087164312,2.1549711081537457,0.36233863445294245,44.31,13.05,99.83,829.92,-72.47,-79.26,-76.28,43.61725430606469,-0.15103205235776898,40.0,-0.22939368764024426,-0.25260608501484366,0.046424794749198806,0.20000000000000018,1.4537853666623075,98.9116,99.6296
000012.XSHE,30.6835,2.8388,2.9246,207.6416,1.8822725589669684,0.32030379598571695,18.567176630300523,2.433855597499193,26.3,10.51,93.78,155.72,26.65,201.45,128.07,56.34491378752578,4.339867287010914,40.0,0.02535868421444043,-0.0042777301716332965,0.05927282877214746,0.2699999999999996,2.0684551947351135,144.0999,229.3246
000021.XSHE,44.8721,2.3653,0.8484,257.4674,2.225085947276965,0.02300484267754932,4.1786668673704535,0.8020346120563852,5.08,4.22,22.85,231.43,-12.28,203.32,189.64,49.34239664018529,1.0735137171197373,45.0,-0.21252789346184642,-0.20521981605708797,-0.01461615480951689,0.4500000000000002,1.9733274316719462,125.9631,126.0869
000028.XSHE,30.975,4.1829,0.8827,39.3924,2.4555829114402985,0.05518877866989721,5.496923483000285,0.6635684078826106,7.57,2.91,94.18,-40.93,12.65,1.55,1.42,49.505232432929326,-0.8494608568005506,20.0,-0.9777450427354211,-0.2584944098833786,-1.438501265704085,2.6999999999999957,1.1787771759228212,152.0867,236.43599999999998
000030.XSHE,18.784000000000002,1.9303,2.1,34.4397,1.517705944909122,0.15142348596592287,2.045322677910786,0.5231967798794225,18.09,12.17,95.65,109.78,10.33,-12.5,-8.42,50.46121094498596,1.7167935975216215,40.0,-0.06437031709409347,-0.0773277492164048,0.025914864244622665,0.16000000000000014,0.6108929217492656,90.175,93.5021
000031.XSHE,20.4821,2.7901,1.0736,2.72,4.997465176359875,1.9404350180665666,2.0251451655829413,0.4571701794634376,35.78,14.09,98.09,-54.55,390.06,458.06,690.82,42.54857457360487,-0.29128388976022884,45.0,-0.38258018013078043,-0.41421011101385263,0.0632598617661444,0.34999999999999964,1.4871837342657548,172.122,172.1231
000049.XSHE,38.4137,8.311,0.992,89.6188,2.1736225325881953,4.465474227908426e-05,3.5011821873297633,0.6360072219427599,9.73,3.25,92.45,-208.45,-16.59,-34.9,-38.66,52.90190617211684,4.914588471727416,55.00000000000001,-0.17580525234373923,-0.36612450052975765,0.38063849637203684,1.5199999999999996,5.661183680059462,80.6608,80.6608
000050.XSHE,57.3928,2.2172,2.8111,9.7435,1.5187671430191327,0.19251681356669803,0.7877163097188065,0.44612290016530265,19.51,3.71,-22.95,4257.29,0.46,-412.94,-27.45,61.368075144365385,9.604459213206141,55.00000000000001,0.8959894882837496,0.6186754799590071,0.554628016649485,1.5,6.912182729750034,199.4628,296.3324
000062.XSHE,48.1901,5.0366,6.6157,35.8911,1.579827932600143,0.17688457404959065,1.5074576536109576,0.5520352195620695,21.12,5.82,98.31,12.25,274.69,24.37,18.32,54.62916776094847,7.049965776865169,60.0,-0.1433977777454558,-0.38309981321780984,0.47940407094470805,1.0899999999999999,1.500366957278743,170.4056,184.2964
000066.XSHE,380.2938,5.7045,0.2003,9.2753,4.37326523005828,0.5272350581662211,4.861876346927468,0.8681105896851237,10.8,-0.44,-159.23,956.95,-1.92,58.04,80.63,41.42362492986793,1.9138755980861348,30.0,-0.7942318910926129,-1.0757163211156193,0.5629688600460128,0.5800000000000001,2.529360805473484,145.4604,145.463
000078.XSHE,28.8069,7.5219,1.2111,30.7681,6.068032265643931,0.0834304797383325,8.63811224943602,0.9239962510385844,12.35,1.54,91.87,-285.51,17.0,14.58,7.38,51.05772080070097,-2.13249548766627,50.0,0.07851739712302663,0.20522890611914796,-0.25342301799224265,0.3600000000000003,3.233862989917909,135.9881,140.1557
000088.XSHE,28.4696,2.2226,49.9201,96.4564,1.2796319474032798,0.24056560140828456,0.6463680101022179,0.1579846773235894,56.29,133.94,100.0,-56.09,-0.48,5.34,3.76,46.42762823718206,0.49539985845719164,45.0,-0.15609705084776948,-0.16588173197394562,0.019569362252352285,0.20000000000000018,0.39083873166088573,124.1031,124.1066
000090.XSHE,27.7076,1.8014,1.683,6.2943,2.632538954181234,0.28212855212071664,2.168753719060733,0.6181248026270789,21.3,3.46,96.77,-275.08,5.85,8.81,-11.0,47.12305367993698,2.0968547179231285,50.0,-0.13573211675729446,-0.17144299479376485,0.07142175607294077,0.1599999999999997,1.269903795493879,69.3978,107.4585
000099.XSHE,54.3278,2.9436,6.5345,-2747.7492,1.6921291690813451,0.4766701398281815,1.9063095936152616,0.46456149083327286,18.98,7.68,100.01,178.02,-10.08,-42.49,-47.17,56.32869138641915,4.834482480545146,55.00000000000001,0.24879402823910546,0.19037711581564176,0.11683382484692739,0.7900000000000009,5.628753668591844,82.4256,82.4256
000417.XSHE,24.4431,1.7558,0.6287,-7.444,2.1490025202998595,0.08089350630726799,2.0358877837119898,0.9204507267873623,18.24,3.71,98.09,-7.72,-1.72,-6.24,-7.83,49.653197061884526,1.9012549785827153,40.0,-0.13599309009483918,-0.15985789806854225,0.04772961594740616,0.27000000000000046,1.4003586965745944,60.9652,61.0649
000418.XSHE,18.9634,3.4516,1.3389,22.2395,2.3437198219670394,0.006516802148022797,3.9436658786176997,0.6387047368980026,28.13,8.52,98.34,145.41,28.71,30.84,30.26,58.978137110549255,1.605181638974931,55.00000000000001,0.5636327954581724,0.9394750348298413,-0.7516844787433379,0.9600000000000009,1.0913122718937842,130.4467,188.4814
000426.XSHE,-204.4497,2.7423,10.9479,24.4756,1.6017760260401817,0.2935583986913093,2.5854240246641567,1.0126093510707443,40.77,-5.18,114.12,-268.42,-68.2,-133.13,-149.35,42.644901264012724,-1.3949013949014049,50.0,-0.41386500233069423,-0.4118974552224742,-0.003935094216440116,0.25,1.5978995164875902,59.6261,73.9017
