,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000006.XSHE,10.2942,1.4677,3.6407,-6.9442,2.074337174946253,0.2729090213121421,1.9338697578824344,0.49955640991788,38.96,17.81,99.52,572.6,19.71,13.56,6.19,62.55916718563036,5.120318436764979,75.0,0.26677902880718474,0.25855619925855655,0.01644565909725637,0.25,2.536756120284958,91.0108,91.1247
000008.XSHE,14.6756,1.8087,4.864,-23.1703,1.3773581862608981,0.04432891654277462,5.107685362539591,0.4691193999157385,45.24,12.09,104.44,-11.56,36.23,-5.35,-5.83,57.29592393539973,0.2840288398514289,60.0,0.10237136148735182,0.15486508519587797,-0.1049874474170523,0.16000000000000014,2.3665160797400078,119.5017,128.4727
000009.XSHE,280.9469,2.8343,1.6287,122.4281,2.886587058293715,0.6972250775910025,2.883891046365116,0.6056305379598481,34.5,1.53,-525.66,1003.42,19.4,-96.31,-76.87,60.144068978680366,2.2275626213143678,65.0,0.4882300604358303,0.5412147883005562,-0.10596945572945193,0.33000000000000007,2.6956645317463863,142.2378,144.221
000012.XSHE,27.1855,1.7711,1.4112,13.2342,2.13486354533557,0.3875777379208132,2.3078470062177647,1.2630226130150461,21.93,4.73,73.61,554.99,-5.83,-55.32,-60.57,58.362253598970945,-0.5275056518462643,55.00000000000001,0.17858329903616266,0.27161949356309734,-0.18607238905386936,0.1899999999999995,1.0464343376391905,98.3407,158.6256
000021.XSHE,26.8945,2.233,0.8574,19.2141,2.2681872301200072,0.02769019037480551,4.031144403763861,0.8879783731148673,4.03,6.41,-0.21,1118.44,22.82,69.6,67.66,60.504355494653716,8.030075187969953,70.0,0.852334197002957,0.7489718883603198,0.20672461728527436,0.6899999999999995,5.616611510260728,137.8229,138.0041
000025.XSHE,155.7772,9.6823,24.2173,210.6808,1.4705260489527718,0.050898380300805804,3.2804274202498176,0.7570166968195313,23.0,9.69,76.42,56.77,19.69,-34.39,-41.52,55.02477031934902,-1.9974071062866663,60.0,0.7463505143053766,1.150516549398648,-0.8083320701865429,0.9699999999999989,1.6825088894926787,88.1449,96.7354
000027.XSHE,35.2132,1.0645,1.3894,13.7201,3.3176454894787826,1.4261681085933795,2.775091502279013,1.1568865612044246,21.42,2.14,104.03,2690.56,2.91,-71.04,-79.07,57.992179038387256,0.2847843775426862,50.0,0.17354771935092117,0.23333264470887488,-0.11956985071590742,0.13999999999999968,0.2824046091678473,257.2955,257.2955
000028.XSHE,18.2884,1.9234,0.5112,6.185,2.0841139717244914,0.020625005311673,2.1558660876145233,0.6004050576920497,11.26,2.92,98.97,107.44,2.17,17.54,20.33,64.23023005031726,4.6976797348268535,55.00000000000001,1.4894958713482112,1.5684424733347841,-0.157893203973146,1.6599999999999966,0.7974164140232564,158.4576,220.4426
000031.XSHE,19.4,3.4939999999999998,1.9199,32.9523,7.013673709350257,2.154606895250754,4.458633614184482,0.6346017542682941,35.09,16.46,98.01,-150.58,-26.45,-37.21,-38.51,64.28120884140681,7.648725212464573,50.0,0.24031266345507696,0.2525381011454157,-0.024450875380677473,0.5699999999999994,4.15844343288426,118.9802,257.5371
000039.XSHE,13.175,1.3367,0.4763,8.7501,3.031963807101992,0.6286819751575998,6.981665762028218,0.8978449850633602,14.8,4.57,103.72,-9.5,19.05,57.04,-12.99,69.20708842516761,8.669108669108677,65.0,0.2824658440649426,0.27272857061491806,0.019474546900049017,0.5,3.068116888933181,189.1439,445.3709
000049.XSHE,18.45,4.4102,0.4376,-33.6799,4.5051350693424475,0.07660923076023192,25.605601943164995,0.883371004287573,8.83,3.46,98.24,153.82,72.6,105.79,118.48,57.280666398403135,1.1321123798811672,55.00000000000001,0.47084494180824876,0.7246525161675852,-0.5076151487186729,0.9600000000000009,1.547282772641765,71.7327,71.7327
000060.XSHE,18.5128,1.757,0.8507,42.4999,1.8419457036821496,0.23087260517015057,2.84976349547725,0.8495492696767536,10.23,3.04,91.35,300.15,13.58,-44.05,-46.73,57.611263436051175,-0.4446372410801471,55.00000000000001,0.10921943019968339,0.19428197496560207,-0.17012508953183736,0.22000000000000064,1.4352941662657732,180.1952,180.2691
000061.XSHE,173.9505,2.1284,4.1621,14.7798,2.959296030701291,0.8229905966992085,3.7418576016563114,1.852429107645414,39.73,14.65,-37.44,3960.49,0.64,1017.62,18277.09,55.795355028084096,-0.27652955409609425,55.00000000000001,0.17000602203580062,0.24900776575469075,-0.15800348743778025,0.2699999999999996,0.5917338628568612,101.5308,101.6482
000062.XSHE,23.3891,3.4222,1.3589,85.4701,2.002187961479563,0.2030873491289541,3.0552282030224003,0.6540867652051335,14.46,5.45,96.8,54.42,17.34,93.52,75.7,64.77227217305726,4.450193079143694,55.00000000000001,0.5571765721438062,0.5734234654346161,-0.03249378658161972,0.5200000000000014,0.9787876443535929,160.1549,160.3487
000066.XSHE,63.3536,5.1381,3.3736,156.4218,2.155846713990261,0.3701756358008089,2.682967317206814,0.6803101886055682,17.19,-1.78,139.03,396.64,2.72,-143.24,-200.84,74.80872218158945,19.976771196283373,60.0,1.2832605766661676,1.0680457046194278,0.43042974409347945,1.0899999999999999,11.130746953828634,263.2688,310.3527
000078.XSHE,18.5364,2.0488,0.3328,-22.9744,4.988383245808731,0.627937831177643,13.30889918084476,0.824309946405152,12.71,1.62,100.22,224.66,48.16,-19.63,-27.04,56.941728922762,-2.645032229384322,50.0,0.1971495283915674,0.3186004282675304,-0.24290179975192594,0.1899999999999995,2.0485703801481474,81.8785,121.8299
000089.XSHE,28.000999999999998,1.7814,5.7879,78.4234,1.1746050160192567,0.00034979056054333646,3.833873053233746,0.4515662038491215,30.27,23.26,95.23,131.43,4.87,7.71,11.09,64.02152580377812,4.717636373350425,40.0,0.33892358760157393,0.363745449070911,-0.04964372293867414,0.4499999999999993,1.263217923141064,205.6922,205.6922
000090.XSHE,42.8295,1.5801,1.4526,5.8759,4.669247199065684,1.2803493052759465,2.7872929469508554,0.5853178241289104,11.98,-2.57,101.67,-5311.94,-17.52,-110.79,-115.39,69.39816952369544,9.536784741144391,75.0,0.24917239345933417,0.21513710398610766,0.06807057894645302,0.20999999999999952,1.7938071834110207,99.4578,99.4641
000156.XSHE,27.1247,1.6385,5.1035,88.2116,1.3837853072303243,0.13649625467752804,1.1364775681662542,0.30463984449964004,39.77,19.76,82.94,219.83,11.1,0.72,0.7,59.86217942601558,6.007781314739004,55.00000000000001,0.823805663796028,0.7699843014393698,0.10764272471331648,0.5200000000000014,1.4842706562165666,156.06799999999998,174.7256
000158.XSHE,34.3216,1.8953,1.0479,-55.8073,2.1232254340717547,0.18681842709189883,10.71283206625415,0.7485930176194602,11.8,0.5,-332.28,-395.0,21.99,63.57,-34.02,59.058922899568465,2.6410564225690303,65.0,0.43221010627021883,0.4297570653806564,0.004906081779124882,0.45999999999999996,1.8205012260425326,111.0926,113.0566
000400.XSHE,53.5322,1.3782,1.3008,-34.4222,1.745105525159223,0.003163433200627633,6.737543549917369,0.5061283943442967,17.04,1.86,56.29,1814.86,-19.88,-80.33,-79.55,47.2191006814496,-5.069422021310947,45.0,-0.13101516728064233,0.15050318028538381,-0.5630366951320522,0.4599999999999991,1.814177431403518,106.8678,106.8827
000401.XSHE,15.9806,2.0438,0.7684,7.4665,2.60141835652026,0.2620274928971725,3.652806740573116,1.2474477517260232,30.05,3.46,44.59,573.43,46.97,1484.37,295.66,66.13787047921913,5.746796367421656,55.00000000000001,0.8122587428000543,0.8594736490651955,-0.09442981253028249,0.8300000000000001,3.9824503441027828,236.9756,237.0293
000418.XSHE,21.0514,4.6233,1.5776,-19.1946,2.147179644228941,0.0016540991023395403,10.476976997559357,0.588791245088763,25.27,9.31,96.07,21.99,-0.91,0.89,3.79,58.242686301225255,2.189221556886224,45.0,0.9778262175379879,1.4619008984368274,-0.9681493617976789,1.9600000000000009,0.8819449712632106,250.13,360.0753
000426.XSHE,16.0012,2.0122,4.7756,-99.5242,1.6666490267242833,0.32401845226394077,24.580859253048857,3.024415307369744,62.72,30.55,100.53,227.22,1.43,2.97,2.22,46.34075864340731,-6.355518871463954,60.0,-0.07819828903016735,0.09177898005845025,-0.3399545381772352,0.21999999999999975,2.359075148631593,83.2753,116.9681
000488.XSHE,5.5483,1.1192,0.625,23.9459,3.961928509197748,0.7747235816007149,12.648588158409858,1.2131246125878332,30.67,9.23,92.72,627.67,-2.92,-26.32,-24.92,54.16125586855729,-1.2643955866956593,55.00000000000001,0.08653503059126155,0.18906589804542182,-0.20506173490832053,0.20000000000000018,1.858691006011346,112.0237,196.3515
