,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000006.XSHE,7.499,0.8972,1.6226,3.6821,2.3087138115798496,0.4648512881713997,1.3699888137343144,0.462743646893315,41.82,24.68,100.4,-63.17,87.61,164.37,159.89,40.026082914706755,-4.875432113481929,40.0,-0.12431595954962216,-0.09924885630161717,-0.05013420649600997,0.11000000000000032,0.6174484741532033,60.4042,60.4798
000008.XSHE,24.9534,1.2117,3.0795,-216.4829,1.4517793790012699,0.040620463561175685,7.0182153749172835,0.5388101040549814,51.53,13.94,87.1,51.55,12.13,25.68,29.38,43.30303772232976,-6.399521531100477,45.0,-0.07410700585854357,-0.03042590733382912,-0.08736219704942891,0.10000000000000009,1.1508129179635092,83.6903,87.31700000000001
000009.XSHE,48.0143,2.8142,1.0932,21.4919,2.8739483779049864,0.6649169813075305,2.6606412365781997,0.6336811749811669,36.03,6.76,62.92,248.02,23.9,4244.52,449.03,40.49064141642199,-12.508441509717102,40.0,-0.48226665735627083,-0.2309632906797927,-0.5026067333529562,0.16000000000000014,1.5433563104656918,149.5776,151.6578
000012.XSHE,25.8348,1.4293,1.3483,-10.5131,1.8588543668617354,0.18395308280517653,3.906253168024559,1.4233142534274545,26.81,6.32,81.4,239.69,3.46,40.0,38.25,40.79432016513033,-10.931174089068831,40.0,-0.2181380089092304,-0.08004677744247612,-0.27618246293350857,0.1299999999999999,0.6188924940660501,85.9366,136.4498
000021.XSHE,69.971,3.9163,1.8695,-41.4343,2.571209725332258,0.027541924192331035,7.768633926255439,0.9013112269611324,9.34,4.36,63.76,-636.28,-16.72,-43.92,-43.31,48.833313156862204,-4.876030699877303,40.0,0.21586193243227925,0.5719110079188574,-0.7120981509731563,1.5599999999999987,5.70903742640107,252.7243,253.0566
000025.XSHE,66.4982,6.8706,13.9371,137.5014,1.521928905545584,0.00518752732141402,3.2250647008402598,0.7154368625489964,23.44,13.86,92.92,167.94,59.1,132.23,127.58,39.508811022609116,-4.966905235968368,40.0,-0.5889932796919304,-0.47491323565534943,-0.2281600880731619,0.41999999999999815,0.551172478155108,69.7574,76.556
000027.XSHE,11.8518,0.8902,0.9726,25.6112,2.7884365778574027,1.1612482405802371,2.4233135904367056,0.8896304105747588,31.26,14.52,96.22,219.78,22.71,430.85,732.96,42.29760043372877,-1.3409961685823766,45.0,-0.06902436421593272,-0.08230726372268427,0.02656579901350309,0.0699999999999994,0.1145370569945491,213.2896,213.2896
000028.XSHE,13.4538,1.3356,0.3286,21.7129,2.333910579537402,0.09335046528071038,2.4764152689185024,0.6546675212713368,10.22,2.63,97.45,-26.51,24.21,10.43,11.86,38.354318691342534,-2.765312515875585,35.0,-1.4797640547243027,-1.5947501809101639,0.22997225237172225,0.490000000000002,0.4912327503366057,146.9096,171.0367
000031.XSHE,9.6955,1.188,0.6825,2.883,4.306019895886868,1.3117857657916343,3.138008260334471,0.6341538633314455,27.15,-0.38,400.01,182.99,28.73,-70.2,-106.38,40.618564826113364,-3.3959470713426567,35.0,-0.1967267931330614,-0.2295839063802036,0.06571422649428438,0.23999999999999932,0.5476570694651813,97.5783,230.6037
000039.XSHE,17.9277,0.7844,0.3222,-14.7627,3.1270683853974433,0.8452024345807181,8.146910726874548,0.7837020591386478,16.63,5.33,92.96,-71.61,-9.16,62.85,6.01,39.297640489783426,-2.278749337572847,50.0,-0.18518400829096038,-0.2118696322458336,0.053371247909746455,0.10000000000000053,0.3566410600220948,117.602,276.4852
000050.XSHE,32.9185,1.0223,0.9016,-58.6989,2.4506855240539926,0.6865217788153358,6.339598903989286,1.4175948578879145,18.79,-2.98,146.08,-3431.64,-4.35,60.71,29.79,35.379873491370226,-10.333253416446883,35.0,-1.0625572103733418,-0.7307999233487672,-0.6635145740491493,0.370000000000001,0.48502574053167175,243.7951,273.0148
000060.XSHE,14.9137,1.1622,0.5565,216.5481,1.7881825695823206,0.23668201772717423,3.1889303872898345,0.940765729574017,11.72,4.02,58.8,695.62,82.19,16.22,78.84,40.004963486370926,-3.7307973664959873,50.0,-0.11570506026410543,-0.10464097170559712,-0.022128177117016617,0.06999999999999984,0.5833938000816787,127.035,127.0808
000061.XSHE,76.9318,2.4337,4.5306,-439.1568,2.807641094440526,0.7408510026176602,3.7693148458151,1.8254167474984517,37.31,14.15,80.65,268.15,27.63,15.33,23.32,63.10493880749143,11.930724823604887,50.0,0.24736747364393263,0.17080791950396543,0.1531191082799344,0.7199999999999998,3.1075955847592733,122.7481,122.8602
000062.XSHE,19.8049,2.4089,0.8692,41.8854,1.9873784038890896,0.09528409049224563,3.0997730162634514,0.6957058646357491,10.22,3.74,98.1,70.38,30.51,-12.08,-15.7,40.02973186811538,-5.519257221458043,40.0,-0.5700343894101607,-0.4759933674610584,-0.1880820438982046,0.23000000000000043,0.1999160369167387,124.6256,124.777
000066.XSHE,36.5804,5.5868,3.2109,72.3951,2.748331355603225,0.42788021541020366,3.4873492006548767,0.7745411361093951,21.91,1.57,76.44,-898.37,32.15,308.88,216.67,37.43925896651223,-10.567246111619392,30.0,-0.8902053732567943,-0.6424221604897778,-0.49556642553403285,0.41000000000000014,1.5606323910947963,297.3899,349.6249
000078.XSHE,36.2423,1.9798,0.306,131.8345,4.9954348515646405,0.42482769532768494,14.934046247566258,0.8787315917291648,13.65,2.85,101.33,7.83,-4.1,37.52,69.04,43.38191908039246,-11.759026839158137,30.0,-0.23971694113662245,-0.04936219860205669,-0.3807094850691315,0.20999999999999996,2.3598374472727817,119.8236,126.2501
000089.XSHE,26.3895,1.2989,4.1160000000000005,28.6612,1.1608398514764362,0.006045506534372939,1.3331378257835917,0.5873841612628161,16.55,11.74,69.97,97.83,6.49,31.82,23.53,40.35663073787379,-2.4611398963730617,35.0,-0.3317921848645513,-0.38818621278139576,0.1127880558336889,0.1299999999999999,0.32265395847564265,156.6788,156.6788
000090.XSHE,10.1466,1.2508,0.747,2.1308,4.434106924778208,0.8633859568293727,2.387268360497405,0.6540199405421314,16.79,0.44,-5.93,9450.24,81.52,306.14,130.99,44.277758848405746,-2.9771398192451195,35.0,-0.08593190797122396,-0.07642447595580798,-0.01901486403083197,0.1200000000000001,0.33587418815931036,86.8813,86.8874
000156.XSHE,20.0333,1.2304,3.7714,-48.5479,1.4037831732911938,0.1330846022204141,1.4597682877231006,0.31673323941221004,35.93,11.81,120.45,118.33,2.4,-42.84,-38.83,40.16156696102381,-7.732074623510889,35.0,-0.4991946320084679,-0.3768295773774193,-0.24473010926209726,0.3000000000000007,1.2477705368694942,119.4516,133.7317
000158.XSHE,73.9773,2.3468,1.3099,48.2296,2.2672570059275823,0.22342637580336067,7.630732439942483,0.8183684361145414,8.43,0.34,-483.09,47.42,18.74,-67.79,-18.63,42.162027873859834,-22.744871167282277,40.0,-0.5033273686010205,0.453697839718994,-1.914050416640029,0.5500000000000007,3.9339377114304863,136.2682,138.7599
000301.XSHE,15.3196,1.4271,0.9529,8.5157,2.3675442463725345,0.37728412921230825,3.248732414098167,1.3352524981758476,11.93,6.09,85.27,308.28,0.05,97.27,529.08,44.38169230709405,-1.8721755971594711,30.0,-0.07592925405985262,-0.06835191330003383,-0.015154681519637586,0.08999999999999986,0.2789523342490382,58.1099,192.1858
