,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000008.XSHE,98.2065,1.0484,2.7569,46.5448,1.6346855509900915,0.05813589847829756,5.389849500334468,0.7073677375036848,23.95,-60.54,102.58,52.36,-50.87,-389.56,-411.47,25.72626263602165,-5.944055944055957,20.0,-0.08630574030594884,-0.06763426347198069,-0.0373429536679363,0.10999999999999988,0.8477838168481618,71.6934,74.8034
000009.XSHE,31.3474,2.8822,1.9113,18.4885,2.457945315120273,0.5393206705956899,2.0033737165705396,0.5634430746532181,34.77,16.18,-6.65,352.04,3.47,89.15,147.62,48.813016922839594,-0.0398777083610395,45.0,0.06333146072523821,0.009557857076312567,0.10754720729785128,0.2699999999999996,1.7899724916433457,192.9235,194.9886
000012.XSHE,25.4133,1.7975,1.7775,242.8874,1.7185549828209084,0.3299226064270238,2.2951981970978905,0.8877622623584198,32.91,11.4,93.56,166.78,9.76,117.23,98.01,52.913280069925136,0.6572431799765789,55.00000000000001,0.09587491853812136,0.07591114284323133,0.03992755138978005,0.25,2.105635415112991,116.445,182.7062
000021.XSHE,59.5673,4.3089,2.2741,-141.8921,2.9439243139009417,0.21320460158023194,11.803246671926233,0.8733071324815365,11.18,7.78,30.31,1706.72,-0.01,62.11,77.47,43.25581918024059,-3.4285446273626854,45.0,-0.37829367831778526,-0.3946969580110437,0.03280655938651689,1.1600000000000001,1.465535330854238,311.2863,311.7599
000025.XSHE,41.8329,6.32,18.5921,3224.4043,1.2111570390354,0.004602775941584377,1.4663007479559595,0.42830590109651906,21.27,14.79,89.67,1288.46,-34.27,-32.77,-29.86,38.29589289701029,-6.432748538011689,35.0,-0.7384854331597772,-0.4902489170139372,-0.49647303229168005,0.9499999999999993,0.9581806857364225,74.4315,81.6856
000027.XSHE,6.6393,0.9435,1.3065,29.9689,2.724645712989735,0.975949723897083,3.156124192536989,1.2825084340299888,36.25,20.35,93.13,178.61,9.55,54.99,53.55,44.200283353163364,-3.8240917782026638,35.0,-0.01053180188619951,0.03283906242488906,-0.08674172862217713,0.16000000000000014,0.3446137543795138,257.8505,257.8505
000028.XSHE,16.2264,1.5676,0.3828,-24.5022,2.561971483415793,0.13749895903686526,3.5344850970584543,0.7311592671272331,11.06,2.64,100.05,134.03,13.65,18.68,16.32,51.98784382829831,2.1276595744680993,55.00000000000001,0.28414524969206667,-0.11506696910545412,0.7984244375950416,1.3799999999999955,1.0204244988475013,182.5062,212.4794
000031.XSHE,24.7946,1.0125,0.6682,1.6525,4.5116875657922,1.5244522444392847,2.6526023902879525,0.5856132423192022,41.31,8.97,88.34,510.25,38.23,-14.92,-31.77,34.115165906263336,-3.7263802385727836,30.0,-0.16509954773059832,-0.17553073293283844,0.020862370404480246,0.1200000000000001,0.39234902420701556,82.7036,195.4559
000039.XSHE,26.5681,1.2128,0.4855,6.1535,3.1753643153352757,0.9595570810590262,4.736163711429038,0.7312604254687569,15.0,5.04,49.05,779.98,27.54,675.3,920.18,80.21885543968718,17.63744792092148,75.0,0.6110982616357914,0.353173031119434,0.5158504610327148,0.27000000000000046,2.3063703301916667,181.8112,426.0091
000046.XSHE,-20.323,0.9915,1.6693,16.3352,5.026416569177124,1.1602768009294733,5.983204625938057,0.74399955830613,32.46,-133.14,101.73,-579.56,36.06,69.21,35.01,42.8005024420267,-5.647382920110182,25.0,-0.04694403276694459,0.009943893466966005,-0.11377585246782118,0.21999999999999975,0.28219956823087344,212.4902,213.5638
