,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000009.XSHE,34.4333,4.2513,1.7765,134.7502,2.5221265114047324,0.38789456123769883,3.3464500470054617,0.6811862666626171,24.83,7.93,121.96,-87.84,53.26,19.59,27.46,54.43120895837513,-2.5964606904554723,55.00000000000001,0.6167170667771238,0.9039460721769951,-0.5744580107997426,0.9900000000000002,3.952692301700495,344.18800000000005,347.936
000012.XSHE,17.0066,1.9299,1.6993,79.8545,1.6902069443308936,0.21897188803311463,2.5087085000382627,0.8840192058790991,28.34,13.92,87.63,25.53,-7.35,-35.87,-32.97,66.84406529310402,10.265001522997265,65.0,0.4856154544488529,0.2835274415672402,0.4041760257632254,0.29000000000000004,1.715281040273445,145.1787,227.8454
000021.XSHE,22.2207,1.8032,1.1136,8.6272,2.386286245184321,0.13828306233861637,4.363210239555426,0.8496655531294894,8.22,6.82,-8.61,-307.32,-4.6,5.87,7.94,58.91668109573713,3.8680982973179248,45.0,0.36105812005625637,0.2467098438897302,0.22869655233305236,0.29999999999999893,1.3389370227987312,181.5856,181.6524
000027.XSHE,14.9822,1.0719,0.9125,-305.4298,2.551305665463918,1.035821850217819,2.1141444182018136,0.883203463989529,19.06,6.82,115.37,264.9,36.31,-3.46,-6.26,55.638215391769265,1.73616745091675,55.00000000000001,0.08494083261147445,0.09567027309981563,-0.02145888097668236,0.29000000000000004,1.073117673796322,304.9487,304.9487
000028.XSHE,10.1222,0.8403,0.1836,-15.9863,2.4482492029692664,0.12782641802076933,5.334574220933197,0.7158541589631828,11.21,1.72,95.99,-61.58,6.86,-20.42,-24.33,53.40348808645309,1.4044061560551102,60.0,0.3504897764347312,0.19288959159220068,0.3152003696850611,0.1999999999999993,0.43468856023160785,109.5478,127.539
000031.XSHE,-65.2957,0.9068,0.3905,-1.8794,3.962978534802811,1.1608472740290887,4.073015362061431,0.6163553955558244,36.93,9.67,120.29,-22.33,18.72,56.95,61.58,54.43989029452641,4.657247514390369,55.00000000000001,0.017300060374912718,-0.032454806543836395,0.09950973383749823,0.14999999999999947,1.3000560862029475,75.6299,171.4525
000039.XSHE,7.2536,1.0609,0.2922,4.8498,2.5856507007441683,0.4600105846283292,2.800497237748771,0.7937508936226376,15.3,5.68,91.15,236.55,23.19,17.65,15.35,55.34167228033996,0.9612549389632614,55.00000000000001,0.09681530120580284,0.08202255042456719,0.029585501562471306,0.10999999999999943,1.2195655643793948,212.4966,497.9094
000050.XSHE,15.0016,0.8121,0.7714,13.0177,2.5658037709701156,0.9638604258406673,3.113492224119875,0.9552362672947889,13.87,0.91,-150.51,-3263.0,4.87,-84.06,-84.77,56.10963170996291,3.1290405999482824,50.0,0.21140769644194002,0.10800089917365313,0.20681359453657377,0.14000000000000057,0.4171528246122579,236.8646,245.0374
000060.XSHE,13.3613,1.2986,0.3326,9.4477,2.1757395228292946,0.4994254124247706,2.28446262858452,0.8430997136779284,5.21,2.29,101.46,29.81,61.78,23.26,19.57,53.856974017942946,0.12601672585633214,40.0,0.0802914975916611,0.07817780093348889,0.004227393316344419,0.08000000000000007,0.7942708201355461,166.6796,166.6943
000062.XSHE,15.152000000000001,2.1948,0.5521,9.934,2.388557441882713,0.2916048616072101,2.3895953102327145,0.6258854109514737,10.78,4.36,98.45,136.99,26.19,-4.3,-2.65,57.809038684165515,3.601712702543854,70.0,0.2239295669598178,0.15801221851375394,0.13183469689212773,0.28999999999999915,0.5304783195856756,132.6582,132.8305
000089.XSHE,-41.3172,1.3659999999999999,4.9993,113.1552,2.2697446928341893,0.9186075223053131,8.774995057413534,1.3393674913892468,-40.88,-45.59,102.81,-58.4,-17.65,-805.32,-657.26,75.65739739252156,15.769665035754599,70.0,0.27068389828729433,0.07017759215408971,0.4010126122664093,0.71,4.423425724620373,158.3173,158.3194
000156.XSHE,16.0153,1.0342,1.6781,-23.397,1.6961515814330135,0.22918996578255127,3.699631223642264,0.6349049561917023,29.14,7.75,82.51,-644.79,19.11,12.49,11.22,55.26062298731221,1.9005256773150025,50.0,0.07601140076139679,0.051169186049865804,0.04968442942306196,0.17999999999999972,0.6285568431973256,124.7349,147.6787
000158.XSHE,71.9147,1.5809,0.8408,-16.2083,2.5848892021767447,0.4289532629381155,9.230776070885403,0.7366016330666777,6.03,-5.32,168.18,713.01,36.97,-39.09,1.03,51.07147609801957,-1.2426960743971673,50.0,0.07164124164880281,0.08481179791055057,-0.026341112523495525,0.10999999999999943,0.9355791570317238,94.6229,95.917
000400.XSHE,26.0798,2.0335,1.5311,22.5835,1.6835654911833435,0.08157492301280354,2.6539471040649487,0.43580475944078007,15.37,5.23,93.06,-266.86,36.04,37.05,34.54,50.86822970659575,-2.7101445580399317,40.0,0.5764475575591739,0.7211796474310793,-0.2894641797438109,0.6499999999999986,3.964870412209669,193.5852,193.5988
000401.XSHE,10.6388,0.8943,0.7723,-9.1301,1.8015035193801456,0.3588912779475703,3.276248596605917,1.0387973960602055,20.58,-5.15,107.37,260.82,-2.51,-2691.89,-1041.97,51.84248625513409,0.10670288097777895,60.0,0.08740767910422953,0.08094772147712757,0.012919915254203912,0.21000000000000085,0.6514440252833988,148.6865,279.644
000402.XSHE,8.8038,0.4671,0.6504,-2.5769,3.600346784779151,1.6178799699704938,3.509255295352024,0.39939481001219784,21.45,19.88,15.81,-891.92,210.48,60.86,94.55,52.196509495957024,2.9347731429069195,50.0,-0.03713173194052111,-0.08829727846610884,0.10233109305117546,0.1800000000000006,1.447060072014107,177.7758,177.8413
000415.XSHE,-8.5705,0.5371,0.4868,-1.1653,6.238445420182728,4.314804271792899,8.67253920963742,3.304683933728586,49.07,-15.27,133.43,490.84,13.35,-128.15,-154.93,49.387239556298496,-0.22988505747127985,45.0,0.012952513765077445,0.00582791957523012,0.01424918837969465,0.050000000000000266,0.4831306006565268,86.634,134.2041
000488.XSHE,16.825,0.9217,0.5372,-10.0679,3.6463536087967876,0.43249577315776705,19.17251056005298,1.5102292418891916,16.19,1.55,87.46,169.47,-16.57,-89.17,-89.43,51.896830836001826,1.8694120834462276,55.00000000000001,0.02232988281147641,-0.026686808862902974,0.09803338334875877,0.07000000000000028,1.0005200295745484,93.8938,168.3093
