,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000009.XSHE,34.3644,4.5747,2.2349,-56.6605,2.2566986983480626,0.3816736893603095,2.538653848508335,0.5832588950852275,29.48,9.95,50.21,-61.84,39.63,-13.97,-13.94,45.648524860737275,1.4288887243651411,45.0,-0.15289120188804084,-0.40959582789545945,0.5134092520148372,0.7400000000000002,3.8684969787950205,351.0768,354.8998
000012.XSHE,16.3329,2.2355,1.8972,310.9061,1.639836354155276,0.3177228957485362,2.0411011486742394,0.6266802088728243,37.38,4.64,86.41,103.89,19.32,-44.8,-51.51,35.567319399130184,-5.259365994236308,40.0,-0.32574195916011206,-0.27143037035198464,-0.10862317761625484,0.20000000000000018,0.6895653603563165,162.6176,255.1745
000021.XSHE,22.9019,2.2430000000000003,1.2756,8.8254,2.1638750133799225,0.22509733095003837,2.975099836419123,0.6915906881002831,7.32,5.96,32.39,-9.06,19.15,-2.58,-8.72,39.847286625414185,-0.28383627128772226,50.0,-0.4187131955284631,-0.5343977862923,0.23136918152767372,0.28999999999999915,0.4443361412879816,212.4759,212.55200000000002
000027.XSHE,15.074000000000002,0.7608,1.1475,16.6257,2.5318127157159847,1.0566930062382682,2.049126100264423,0.904394609960524,21.08,12.42,83.76,66.9,23.69,-27.82,-24.47,42.47595042857687,0.5839416058394297,55.00000000000001,-0.18089847627627176,-0.2222706775110711,0.08274440246959869,0.16000000000000014,0.3750349942937071,343.9593,343.9593
000028.XSHE,9.6834,0.9753,0.2137,-7.3866,2.5202230011360776,0.1374076628131948,5.269176392546481,0.7309113645374152,11.2,2.13,97.36,53.28,8.51,-11.55,-12.43,43.32184114710711,-0.3347565498025569,50.0,-0.3935027042298387,-0.36595972279640254,-0.055085962866872284,0.36999999999999744,0.34414693516264655,122.9701,143.1657
000031.XSHE,-552.6299,0.8553,0.3949,-1.8609,4.334396118022852,1.2407175792495146,4.545639409758989,0.6370538932205804,33.39,8.61,99.96,-61.61,40.29,34.04,34.79,52.84224953375796,0.8446378295367039,40.0,0.09443087362585745,0.08338329024703879,0.022095166757637313,0.13000000000000034,0.782280222412688,74.4955,168.8807
000039.XSHE,4.0143,1.1393,0.3629,22.3087,2.5894483602653056,0.490811419627007,4.086207402731156,0.7984428061017422,20.54,10.87,97.06,140.33,86.5,304.89,302.06,39.1856938021834,-1.8664410722783538,35.0,-0.3292995607848077,-0.3078114828855957,-0.042976155798424065,0.25,0.7160714068905935,230.4476,539.971
000046.XSHE,-1.6033,0.623,0.4915,-0.703,4.921299934087843,0.8128830904191771,27.339353859814082,1.1042151437207328,47.26,-69.11,52.56,-402.37,9.97,-682.73,-4905.15,43.294602688571,-3.5040431266846217,45.0,-0.03027187522705388,-0.013851235678460406,-0.03284127909718695,0.040000000000000036,0.581016193671751,92.9716,93.012
000050.XSHE,17.3714,0.8265,0.9416,1509.3236,2.2463798198194627,0.6870701317755183,4.656667683278942,1.1969847711287742,18.73,2.69,44.97,398.16,-7.63,-66.18,-55.93,34.424918159867445,-3.0019232377289073,40.0,-0.3003331985611446,-0.2556026871718999,-0.08946102277848944,0.2900000000000009,0.3660563227698331,269.4348,287.3107
000060.XSHE,13.5852,1.4713,0.4565,-35.3179,1.9664003463110775,0.45558739119850256,3.2189864659632024,0.7181330005965046,6.13,2.78,88.83,73.87,59.01,32.38,28.81,56.66611762716624,4.0017119623368345,60.0,0.04938780600019843,0.007092913898280319,0.08458978420383623,0.08999999999999986,1.4356392637828361,184.6339,184.69099999999997
