,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000009.XSHE,44.9392,3.7544,1.1571,28.6043,2.7519558218448017,0.46444429324537356,3.638219218904879,0.6902011424307154,17.67,6.03,98.44,-2.14,115.84,23.41,31.18,52.370773351526665,3.176242203956872,55.00000000000001,-0.09055149403402396,-0.19863820270929394,0.21617341735053996,0.2400000000000002,1.0434074467792522,319.4391,322.9176
000012.XSHE,13.2939,1.7797,1.565,10.3108,1.9126519284053451,0.38431464982952396,1.7070425843980912,0.7524750203039844,28.68,15.18,91.41,101.82,17.97,204.87,286.23,59.66347216204294,5.114059937378844,50.0,0.0530388730253355,-0.04256561377391975,0.1912089735985105,0.2400000000000002,2.6366964298590334,141.4748,222.011
000021.XSHE,21.7463,1.7603,1.1171,-11.3585,2.389897118352912,0.20112243522241732,7.424998956301665,0.8242366232777332,13.87,2.7,319.97,257.29,3.43,-52.31,-53.11,56.4898460084931,3.530256134212529,65.0,0.14115898340473088,-0.013153684809234234,0.3086253364279302,0.17999999999999972,0.5410214516360767,181.2718,181.3403
000027.XSHE,13.5173,0.632,0.7863,4.0097,2.653036757134865,1.068375111982971,1.6739706580716105,0.823116316217276,17.58,8.87,105.65,176.27,43.71,14.55,2.64,57.50177478549098,1.9515477792731957,55.00000000000001,0.03754076030126097,0.017311592254340327,0.04045833609384128,0.1200000000000001,0.31852079118082527,294.4824,294.4824
000031.XSHE,-17.5002,0.8743,0.3545,10.9597,4.187295213183175,1.1404896365472688,4.159195068349082,0.6631573596849589,18.57,0.81,-184.73,910.1,25.08,-71.09,-88.29,49.69299487836513,0.18701576275714982,50.0,-0.03914879265801963,-0.029008778387373733,-0.020280028541291788,0.1599999999999997,0.5649631389847452,150.1083,160.7368
000039.XSHE,39.8518,0.8612,0.2536,21.1278,2.540842287462099,0.4621969637692848,3.496736593101435,0.7652976119798459,16.29,2.59,311.61,140.52,-17.87,-64.64,-80.4,56.593035807487816,2.75362318840579,55.00000000000001,0.04807983374638081,-0.025654985075863647,0.1474696376444889,0.0600000000000005,0.4413556738671145,167.3123,392.0362
000050.XSHE,16.595,0.7655,0.7552,6.0677,2.6265185716546733,1.0207154225921418,2.2995536226945035,0.8793902421763566,12.22,-0.1,2787.35,-997.86,6.37,-83.62,-104.05,63.17125657854197,4.707972462802592,70.0,0.14945090391831428,0.019319214607924767,0.26026337862077903,0.13000000000000078,0.32010201606720934,224.0357,231.7656
000060.XSHE,13.5214,1.1572,0.2796,8.5545,2.0645167916733516,0.4824865667853252,2.1770775749951228,0.8200989356960438,6.32,1.82,91.62,139.56,-7.35,-48.76,-39.33,65.34312219962986,5.390672319806159,65.0,0.0859562444081492,0.02643675906281688,0.11903897069066463,0.0600000000000005,0.8233409056218133,165.9355,165.9469
000062.XSHE,14.8894,1.9016,0.5169,20.5576,1.9734085677662172,0.2503247897620041,2.4050141172171715,0.5264909464561195,10.85,3.77,100.24,563.15,-15.0,-35.86,-36.08,56.579842984915494,1.961447412918508,60.0,0.1210396732588066,0.08526810989555784,0.07154312672649751,0.16000000000000014,0.4724338416291781,129.6283,129.7973
000089.XSHE,-16.3186,1.3968,5.1066,-195.4082,2.3499152105642263,0.9668728624627623,15.168876130290888,1.504572578459648,-28.7,-36.63,102.81,-38.68,-6.79,-253.27,-258.37,47.418159138047734,-2.3719040754815546,30.0,-0.03692238473146414,0.045353578528488744,-0.16455192651990577,0.11000000000000032,0.4496438453952425,152.7803,152.7823
