,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000008.XSHE,147.7645,0.9092,2.5008,21.0942,1.6763275852507147,0.12917154877257145,5.428203619288534,0.7032086237487878,40.91,11.14,56.37,3195.01,-15.97,-26.57,-32.89,42.92967580121091,-0.19112338076025356,40.0,-0.0660368998084615,-0.09233484607935352,0.05259589254178404,0.06000000000000005,0.5218029603786127,62.6318,65.3487
000009.XSHE,40.1379,3.6904,2.4473,23.6731,2.457945315120273,0.5393206705956899,2.0033737165705396,0.5634430746532181,34.77,16.18,-6.65,352.04,3.47,89.15,147.62,64.15033947962576,15.28792050760207,50.0,0.9784815214648503,0.536329703900131,0.8843036351294387,0.47000000000000064,4.81158238210892,247.0237,249.6679
000012.XSHE,27.8479,1.9697,1.9478,266.1556,1.7185549828209084,0.3299226064270238,2.2951981970978905,0.8877622623584198,32.91,11.4,93.56,166.78,9.76,117.23,98.01,47.26190297153846,0.6568144499179135,45.0,-0.06422123115576728,-0.1672134393584434,0.20598441640535226,0.23000000000000043,1.4307081613351227,127.6003,200.2091
000021.XSHE,36.1853,4.0233,2.0382,-138.611,2.9439243139009417,0.21320460158023194,11.803246671926233,0.8733071324815365,11.18,7.78,30.31,1706.72,-0.01,62.11,77.47,51.82810511952055,0.9107559525302946,50.0,0.40447904105496235,0.21993978795044467,0.3690785062090354,0.7200000000000024,1.468465983415323,304.08799999999997,304.5507
000027.XSHE,7.0558,1.0027,1.3884,31.8489,2.724645712989735,0.975949723897083,3.156124192536989,1.2825084340299888,36.25,20.35,93.13,178.61,9.55,54.99,53.55,47.1329854742372,-2.2872827081427265,60.0,-0.010103898086288865,-0.008167697137795683,-0.0038724018969863647,0.20000000000000018,0.6359463389420443,274.0257,274.0257
000028.XSHE,12.7085,1.2278,0.2998,-19.19,2.561971483415793,0.13749895903686526,3.5344850970584543,0.7311592671272331,11.06,2.64,100.05,134.03,13.65,18.68,16.32,40.239728445451206,0.010605578534309448,50.0,-1.005291128588496,-1.4615842609705187,0.9125862647640455,0.5800000000000018,0.732050543379056,142.9381,166.41299999999998
000031.XSHE,22.9459,0.937,0.6183,1.5293,4.5116875657922,1.5244522444392847,2.6526023902879525,0.5856132423192022,41.31,8.97,88.34,510.25,38.23,-14.92,-31.77,53.375113080320816,8.636890204659537,40.0,-0.0009283809982187918,-0.1565087612055225,0.31116076041460744,0.16000000000000014,0.4504389837580438,79.7896,180.8824
000039.XSHE,32.2405,1.4718,0.5892,7.4673,3.1753643153352757,0.9595570810590262,4.736163711429038,0.7312604254687569,15.0,5.04,49.05,779.98,27.54,675.3,920.18,46.8222631610219,-3.088096690136933,40.0,-0.21059028708516436,-0.17463736509905303,-0.07190584397222266,0.29999999999999893,0.9021167146443139,220.6282,516.9630000000001
000046.XSHE,-7.8062,0.7672,1.1696,6.599,4.77591289067212,1.1321643886447033,6.292584982703734,0.7225133955669748,32.79,-4.75,77.31,-140.1,20.22,-82.1,-103.51,45.8221241384223,3.9944903581267255,35.0,-0.06792274315399993,-0.15867967353018297,0.18151386075236609,0.08999999999999986,0.2864882685756827,156.8533,156.9253
000050.XSHE,35.9718,1.1073,1.2495,-201.7193,2.1821936067692627,0.7178001869242986,3.7248813417455597,0.9710360910634815,17.03,5.64,54.23,917.24,-2.27,8.59,24.61,43.9521241290722,-6.259869875560596,40.0,-0.10124819736177137,0.12668520163898894,-0.45586679800152063,0.47000000000000064,0.9085962951710832,274.7034,369.1537
000060.XSHE,19.9307,1.4902,0.6125,242.187,1.9092171668167492,0.49366473526683047,1.9069726683118193,0.5658494325625302,7.16,3.43,77.73,37.41,-6.66,45.28,49.93,52.61387168812487,4.814858630072121,40.0,0.16638419728481413,0.017617439780664157,0.29753351500829994,0.2699999999999996,3.055787630509497,167.7181,167.7752
000061.XSHE,24.2462,1.9016,3.3239,-21.0966,2.6665565445608297,0.7057271646175234,4.76375585530373,2.0247364672779162,35.68,12.72,83.28,309.02,9.16,-5.21,-1.88,46.67970510549221,4.025650160313518,40.0,-0.1121200788247787,-0.2670303207794699,0.30982048390938244,0.08999999999999986,0.35668091694826615,101.8948,101.9875
000062.XSHE,20.5916,2.281,0.7806,227.0904,1.9560010491841189,0.08139403292183123,4.030543187845897,0.6657928780260735,8.91,4.2,96.27,-298.23,23.8,22.62,23.44,48.021103921238094,2.995906215109797,50.0,-0.11376718574655875,-0.3085827456184732,0.3896311197438289,0.2400000000000002,0.253569237935809,124.1032,124.25399999999999
000078.XSHE,117.6551,1.3809,0.2254,-31.0356,4.953268763475491,0.08669225215625107,19.473358616244848,0.9294006177731159,12.23,1.29,167.16,-204.42,10.43,-29.02,-50.01,35.9749449787899,-1.4448669201520874,30.0,-0.18225265473683683,-0.22863615194984555,0.09276699442601744,0.06999999999999984,0.39129905341968085,84.9269,89.12700000000001
000089.XSHE,318.6614,1.4035,5.3086,16.0451,1.1850656855631643,0.006121472576346823,1.256452178642814,0.8856062256066013,17.85,10.89,102.39,255.19,-10.61,-49.66,-47.08,53.42380380282313,3.8124678001030663,55.00000000000001,0.10408016384567631,-0.05565264097610031,0.31946560964355325,0.17999999999999972,0.8204256951432956,166.1123,166.1123
000090.XSHE,4.795,1.3206,0.6101,-2.8913,4.041978916895369,0.8624495844271832,4.34147519802946,0.6124283299557098,17.67,4.84,96.09,-1041.62,26.16,220.15,1291.26,54.227023347493855,5.317931106254564,45.0,0.05772801842800934,-0.05646736481447115,0.22839076648496098,0.17999999999999972,1.2981569743878936,113.2187,113.2339
000156.XSHE,25.7018,1.4814,3.9119,-48.6778,1.4272715022390576,0.13323138632625092,1.8349861819037574,0.35721641425634204,35.96,15.94,81.01,251.99,12.54,67.0,51.96,48.97731812108814,1.3002134678828017,50.0,0.041446997219119375,-0.0675839255302664,0.21806184549877156,0.17999999999999972,0.5453933009208484,108.185,156.5728
000158.XSHE,834.0045,1.505,1.0905,34.8593,2.3784173350291713,0.39182773451810715,5.439500852720429,0.729471454556757,12.65,1.44,-56.7,863.36,-28.28,232.91,204.49,47.086432330013345,5.233056905919373,40.0,-0.0781928143631303,-0.27804369364950804,0.3997017585727555,0.16000000000000014,1.064289430629483,86.8563,88.2436
000301.XSHE,103.8457,3.9373,3.15,25.791,2.4762632460162033,0.5643245835572955,2.6821754631057724,1.2773932436516302,7.25,2.81,76.39,728.32,-4.35,-57.71,-55.79,53.22140762142658,-3.9927907943989935,40.0,0.8615113957729648,1.1577656046913967,-0.5925084178368638,1.1300000000000008,2.848965849506337,245.918,686.5507
000400.XSHE,21.4209,1.6035,1.2239,-122.7766,1.7857051745977168,0.0906196356539678,8.035930056445219,0.4673089921247692,22.32,7.42,94.48,2.1,4.63,43.27,41.78,42.414398505312505,-2.1642454788022523,50.0,-0.21341089917912193,-0.2889686611826453,0.15111552400704675,0.21999999999999886,0.7162500121247267,135.7132,135.7209
000401.XSHE,8.8361,1.4963,0.612,-23.7564,2.021079154838948,0.35235430951848346,3.1523507716470323,1.095236237147459,34.58,17.64,97.27,146.04,6.5,7.52,6.99,56.98428198898839,4.881889763779536,60.0,0.3365534011359017,0.030345431865036604,0.6124159385417303,0.47000000000000064,1.6177266396079428,203.4293,203.476
000402.XSHE,6.0963,0.5217,0.7769,7.56,4.334191264011903,1.7827692372376747,4.568728553238716,0.5215203312254739,35.33,14.55,61.28,241.66,21.37,73.61,58.25,45.26179659844269,0.9463722397476232,45.0,-0.06287326328922482,-0.13786778886026393,0.14998905114207822,0.1800000000000006,0.42605400403580485,181.3495,181.428
000415.XSHE,-4.0777,0.41700000000000004,0.3896,0.8335,5.605608373135624,4.009295263568845,1.0822202073015301,0.7630478878291123,39.39,-12.77,75.39,-2483.49,-23.95,-214.14,-213.21,50.468479370721376,4.132617324305405,35.0,-0.019257413526560185,-0.08902312152447749,0.1395314159958346,0.08000000000000007,0.7616156301648194,79.1069,137.9148
