,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000009.XSHE,43.3957,3.6255,1.1174,27.6219,2.7519558218448017,0.46444429324537356,3.638219218904879,0.6902011424307154,17.67,6.03,98.44,-2.14,115.84,23.41,31.18,43.84325819647157,-4.441186957727502,35.0,-0.29050453176389013,-0.12122880645398562,-0.338551450619809,0.15000000000000036,0.5682070117153628,308.4679,311.827
000012.XSHE,12.3377,1.6517,1.4524,9.5692,1.9126519284053451,0.38431464982952396,1.7070425843980912,0.7524750203039844,28.68,15.18,91.41,101.82,17.97,204.87,286.23,41.59333110305404,-3.9577061458256826,35.0,-0.1733846687423526,-0.10235140826851259,-0.14206652094768,0.0699999999999994,0.5197959036829375,131.2996,206.0434
000021.XSHE,20.0058,1.6194,1.0277,-10.4494,2.389897118352912,0.20112243522241732,7.424998956301665,0.8242366232777332,13.87,2.7,319.97,257.29,3.43,-52.31,-53.11,40.14196126904906,-3.9739590397396123,45.0,-0.35592957850996854,-0.24801490752413033,-0.21582934197167641,0.16999999999999993,0.33881335988701866,166.7638,166.8268
000027.XSHE,31.9585,1.0731,0.8194,4.1199,2.653036757134865,1.068375111982971,1.6739706580716105,0.823116316217276,17.58,8.87,105.65,176.27,43.71,14.55,2.64,62.642101002754025,5.818305546104111,50.0,0.04037434604328727,-0.005503134624995456,0.09175496133656545,0.27999999999999936,0.6190756385333878,302.57,302.57
000031.XSHE,-17.5469,0.8766,0.3554,10.9889,4.187295213183175,1.1404896365472688,4.159195068349082,0.6631573596849589,18.57,0.81,-184.73,910.1,25.08,-71.09,-88.29,48.74248164398885,-5.289672544080615,50.0,-0.003805693081521788,0.08801411892203337,-0.1836396240071103,0.06999999999999984,0.42400128415910393,150.5086,161.1654
000039.XSHE,38.591,0.8339,0.2456,20.4594,2.540842287462099,0.4621969637692848,3.496736593101435,0.7652976119798459,16.29,2.59,311.61,140.52,-17.87,-64.64,-80.4,45.66567663675952,-1.2576356449874289,35.0,-0.10530009847450295,-0.07646159487153545,-0.057677007205934994,0.1200000000000001,0.42253084308886707,162.0191,379.6334
000050.XSHE,15.24,0.703,0.6935,5.5722,2.6265185716546733,1.0207154225921418,2.2995536226945035,0.8793902421763566,12.22,-0.1,2787.35,-997.86,6.37,-83.62,-104.05,39.76171505731524,-3.9591882000665337,45.0,-0.17190894910700116,-0.0750737717143356,-0.19367035478533112,0.11999999999999922,0.16669717234393958,205.7422,212.8409
000060.XSHE,12.485999999999999,1.0686,0.2581,7.8994,2.0645167916733516,0.4824865667853252,2.1770775749951228,0.8200989356960438,6.32,1.82,91.62,139.56,-7.35,-48.76,-39.33,45.187507731795264,-2.075702075702096,35.0,-0.04342824047379246,-0.02204344414552228,-0.04276959265654035,0.040000000000000036,0.3440166378549731,153.2287,153.2393
000062.XSHE,14.6494,1.871,0.5086,20.2263,1.9734085677662172,0.2503247897620041,2.4050141172171715,0.5264909464561195,10.85,3.77,100.24,563.15,-15.0,-35.86,-36.08,54.12645186862402,1.0685852952445725,50.0,0.07365119283586985,0.06243666461110006,0.022429056449539575,0.2699999999999996,0.37174584277532036,127.5393,127.7055
000089.XSHE,-17.2167,1.4737,5.3877,-206.1622,2.3499152105642263,0.9668728624627623,15.168876130290888,1.504572578459648,-28.7,-36.63,102.81,-38.68,-6.79,-253.27,-258.37,61.11784915503392,0.6015615000639921,55.00000000000001,0.22772940473398418,0.26926641936268514,-0.08307402925740193,0.13999999999999968,0.4459055406775046,161.1884,161.1905
