,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000006.XSHE,7.5035,1.2488,3.2569999999999997,-5.5451,2.074337174946253,0.2729090213121421,1.9338697578824344,0.49955640991788,38.96,17.81,99.52,572.6,19.71,13.56,6.19,52.57413365116703,1.1113532359991123,55.00000000000001,0.06093061040953707,0.05907556097632627,0.003710098866421596,0.13999999999999968,0.7544008647306285,72.6738,72.7647
000008.XSHE,12.105,1.4919,4.012,-19.1117,1.3773581862608981,0.04432891654277462,5.107685362539591,0.4691193999157385,45.24,12.09,104.44,-11.56,36.23,-5.35,-5.83,37.74460964683379,-9.770808202653786,40.0,-0.13955320630631673,-0.06305184507454253,-0.1530027224635484,0.13999999999999968,0.7539717509350828,95.624,105.9692
000009.XSHE,199.7194,2.0148,1.1578,87.0316,2.886587058293715,0.6972250775910025,2.883891046365116,0.6056305379598481,34.5,1.53,-525.66,1003.42,19.4,-96.31,-76.87,53.44361275416083,0.03818251240930667,50.0,0.15694319961235603,0.16779068781155596,-0.021694976398399846,0.17000000000000037,0.7345307252377345,101.1139,102.5238
000012.XSHE,20.6099,1.3427,1.0699,10.0331,2.13486354533557,0.3875777379208132,2.3078470062177647,1.2630226130150461,21.93,4.73,73.61,554.99,-5.83,-55.32,-60.57,44.294248746666106,-2.966454116994738,50.0,-0.043402911869087735,-0.034354734185449064,-0.018096355367277342,0.08999999999999986,0.3219365852904214,72.9043,120.2576
000021.XSHE,17.4327,1.4474,0.5558,12.4543,2.2681872301200072,0.02769019037480551,4.031144403763861,0.8879783731148673,4.03,6.41,-0.21,1118.44,22.82,69.6,67.66,53.58965771722774,0.7704960609471232,55.00000000000001,0.14697717463316273,0.13222549190296917,0.02950336546038712,0.16000000000000014,0.551097723467782,89.3351,89.4526
000025.XSHE,127.3409,7.9148,19.7965,172.2221,1.4705260489527718,0.050898380300805804,3.2804274202498176,0.7570166968195313,23.0,9.69,76.42,56.77,19.69,-34.39,-41.52,44.47045432936901,-5.573396871438933,60.0,-0.2659038157682012,0.045095603547834644,-0.6219988386320717,0.48999999999999844,0.6924246608112179,72.0545,79.0769
000027.XSHE,38.2375,0.9964,1.2023,11.2044,3.3176454894787826,1.4261681085933795,2.775091502279013,1.1568865612044246,21.42,2.14,104.03,2690.56,2.91,-71.04,-79.07,49.456038506320944,-1.434350864288352,45.0,0.05001555508170252,0.06742099849829997,-0.03481088683319489,0.1200000000000001,0.18358792853811665,210.1181,210.1181
000028.XSHE,16.3257,1.7512,0.4621,5.4127,2.0841139717244914,0.020625005311673,2.1558660876145233,0.6004050576920497,11.26,2.92,98.97,107.44,2.17,17.54,20.33,50.05915127529853,-1.040219773435822,35.0,-0.12208391621878079,0.11902300319749201,-0.4822138388325456,0.629999999999999,0.18956091006120976,138.6696,192.91400000000002
000031.XSHE,6.9133,1.2451,0.6842,11.7427,7.013673709350257,2.154606895250754,4.458633614184482,0.6346017542682941,35.09,16.46,98.01,-150.58,-26.45,-37.21,-38.51,46.007306668448415,-0.8806061847225278,40.0,-0.045058515930972654,-0.061976398803575646,0.033835765745205984,0.09999999999999964,0.2931424789140105,91.7744,91.7748
000039.XSHE,9.3617,1.0185,0.3689,-57.7823,3.3675601256228336,0.7594692081407516,6.619546170082549,0.9746749932767996,17.0,6.58,32.23,99.12,13.46,106.98,121.19,48.48059065291898,-1.9717261904761882,60.0,0.011504149287539178,0.04714094699045198,-0.0712735954058256,0.08999999999999986,0.35166254824439686,139.8477,329.2412
